id,smallBaseMapId,variationId,label,sublabel,icon,visible,iconScale
48502,4850,2,龙装大树守卫和王城骑兵,,danger_boss,255,1
48602,4860,2,大树守卫和王城骑兵,,danger_boss,255,1
48802,4880,2,神皮双人组,,danger_boss,255,1
49102,4910,2,接肢葛瑞克,,danger_boss,255,1
49172,4917,2,英雄石像鬼,,danger_boss,255,1
49182,4918,2,大熔岩土龙,,danger_boss,255,1
49202,4920,2,坠星成兽,,danger_boss,255,1
49212,4921,2,死亡仪式鸟,,danger_boss,255,1
49232,4923,2,诺克斯龙人士兵,,danger_boss,255,1
49242,4924,2,铃珠猎人,,danger_boss,255,1
49252,4925,2,熔炉骑士和黄金河马,,danger_boss,255,1
49262,4926,2,偏地老将,,danger_boss,255,1
49272,4927,2,战场老将,,danger_boss,255,1
49282,4928,2,黑夜骑兵,,danger_boss,255,1
49292,4929,2,亚人女王和亚人剑圣,,danger_boss,255,1
49302,4930,2,王室幽魂,,danger_boss,255,1
49400,4940,0,持秤商人,,scale_bearing_merchant,255,1
49410,4941,0,主城,失乡骑士,,255,1
49420,4942,0,主城,投壶山妖,,255,1
49430,4943,0,主城,熔炉骑士,,255,1
49902,4990,2,腐败树灵,,danger_boss,255,1
50001,5000,1,洞窟dlc,腐败眷属,cave,255,1.5
50011,5001,1,洞窟dlc,蜘蛛和蝎子,cave,255,1.5
50020,5002,0,洞窟dlc,寒冰鳌虾,cave,255,1.5
50030,5003,0,洞窟dlc,杜鹃骑士,cave,255,1.5
50040,5004,0,洞窟dlc,尊腐骑士,cave,255,1.5
50050,5005,0,洞窟dlc,流放民族,cave,255,1.5
50060,5006,0,洞窟dlc,鲜血贵族,cave,255,1.5
50100,5010,0,村落dlc,噩兆之子,village,255,1.5
50102,5010,2,村落dlc,血血怪,village,255,1.5
50103,5010,3,村落dlc,死骑士,village,255,1.5
50104,5010,4,村落dlc,神鸟战士,village,255,1.5
50112,5011,2,村落dlc,守墓斗士,village,255,1.5
50113,5011,3,村落dlc,黑焰修习武士,village,255,1.5
50114,5011,4,村落dlc,噩兆之子猎人,village,255,1.5
50116,5011,6,村落dlc,祖灵之民战士,village,255,1.5
51000,5100,0,玛莉卡教堂,,church,255,1
51050,5105,0,5105,,undefined,255,1
51051,5105,1,5105,,undefined,255,1
51100,5110,0,魔法塔 dlc,正门上方,sorcerer_s_rise,255,1
51101,5110,1,魔法塔 dlc,小恶魔雕像,sorcerer_s_rise,255,1
51102,5110,2,魔法塔 dlc,枯树,sorcerer_s_rise,255,1
51103,5110,3,魔法塔 dlc,水池倒影,sorcerer_s_rise,255,1
51104,5110,4,魔法塔 dlc,外侧木平台,sorcerer_s_rise,255,1
51105,5110,5,魔法塔 dlc,风吹动的草丛,sorcerer_s_rise,255,1
51106,5110,6,魔法塔 dlc,假封印,sorcerer_s_rise,255,1
51107,5110,7,魔法塔 dlc,逃跑的树桩,sorcerer_s_rise,255,1
51108,5110,8,魔法塔 dlc,门旁蜡烛,sorcerer_s_rise,255,1
51109,5110,9,魔法塔 dlc,隐藏墙壁,sorcerer_s_rise,255,1
51150,5115,0,5115,,undefined,255,1
52400,5240,0,大教堂dlc,圣,temple,1,1
52420,5242,0,大教堂dlc,冻伤,temple,1,1
52450,5245,0,大教堂dlc,睡眠,temple,1,1
52460,5246,0,大教堂dlc,雷,temple,1,1
52500,5250,0,废墟dlc,出血,ruins,1,1
52520,5252,0,废墟dlc,毒,ruins,1,1
52550,5255,0,废墟dlc,魔法,ruins,1,1
52570,5257,0,废墟dlc,睡眠,ruins,1,1
53000,5300,0,入侵事件,格拉迪乌斯,task,0,1
53050,5305,0,入侵事件,卡莉果冰风暴,task,0,1
53490,5349,0,5349,1146,undefined,255,1
53500,5350,0,黄金河马,,danger_boss,255,1
53510,5351,0,神皮双人组,,danger_boss,255,1
53520,5352,0,5352,1147,undefined,255,1
53530,5353,0,5353,1147,undefined,255,1
53540,5354,0,火焰骑士城,,city2,255,1
53550,5355,0,5355,1148,undefined,255,1
53560,5356,0,5356,1148,undefined,255,1
53570,5357,0,神皮城,,city2,255,1
53580,5358,0,5358,1141,undefined,255,1
53590,5359,0,5359,1141,undefined,255,1
53600,5360,0,5360,1145,undefined,255,1
53610,5361,0,5361,1145,undefined,255,1
53620,5362,0,5362,1143,undefined,255,1
53630,5363,0,5363,1143,undefined,255,1
53640,5364,0,5364,1146,undefined,255,1
53670,5367,0,5367,1135,undefined,255,1
53680,5368,0,5368,1135,undefined,255,1
53700,5370,0,5370,1138,undefined,255,1
53710,5371,0,5371,1138,undefined,255,1
53720,5372,0,5372,1138,undefined,255,1
53800,5380,0,尊腐城,,city1,255,1
53810,5381,0,腐败黄金树化身,,danger_boss,255,1
53820,5382,0,神兽城,,city1,255,1
53830,5383,0,神兽战士(冰),,danger_boss,255,1
53860,5386,0,5386,1139,undefined,255,1
53870,5387,0,5387,1140,undefined,255,1
53880,5388,0,5388,1139,undefined,255,1
53890,5389,0,5389,1140,undefined,255,1
53900,5390,0,5390,1139,undefined,255,1
53910,5391,0,5391,1140,undefined,255,1
53990,5399,0,商人,,star_merchant,255,1
