id:int,map:int,boss:int,starter:int,isdlc:int,playArea1_gridXNo:int,playArea1_gridZNo:int,playArea1_posX:float,playArea1_posZ:float,playArea1_height:float,playArea2_gridXNo:int,playArea2_gridZNo:int,playArea2_posX:float,playArea2_posZ:float,playArea2_height:float,bossId1:int,bossId2:int,extraBossId1:int,extraBossId2:int
17,0,0,708,0,42,38,-54.0,21.0,0.0,42,36,26.0,-4.0,0.0,4924,4860,-1,-1
18,0,0,703,0,45,37,-48.0,82.0,0.0,43,36,-75.0,88.0,0.0,4924,4860,-1,-1
19,0,0,702,0,43,36,88.0,-29.0,0.0,44,39,-34.0,-22.0,0.0,4929,4840,-1,-1
20,1,0,708,0,43,36,88.0,-29.0,0.0,43,38,-26.54,35.82,0.0,4924,4860,-1,-1
21,1,0,704,0,45,39,82.0,18.0,0.0,43,38,-26.54,35.82,0.0,4924,4840,-1,-1
22,1,0,701,0,45,39,82.0,18.0,0.0,43,38,-26.54,35.82,0.0,4929,4860,-1,-1
23,1,0,708,0,45,39,82.0,18.0,0.0,43,38,-26.54,35.82,0.0,4924,4840,-1,-1
24,1,0,708,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4929,4840,-1,-1
25,2,0,704,0,42,38,-54.0,21.0,0.0,43,39,88.99,96.707,0.0,4924,4860,-1,-1
26,2,0,700,0,43,37,17.0,-58.0,0.0,43,39,88.99,96.707,0.0,4929,4860,-1,-1
27,2,0,705,0,45,39,82.0,18.0,0.0,43,39,88.99,96.707,0.0,4929,4840,-1,-1
28,2,0,702,0,43,36,-75.0,88.0,0.0,43,39,88.99,96.707,0.0,4924,4840,-1,-1
29,2,0,702,0,45,37,-48.0,82.0,0.0,43,39,88.99,96.707,0.0,4924,4840,-1,-1
30,3,0,708,0,45,39,82.0,18.0,0.0,44,36,48.9,91.352,0.0,4929,4840,-1,-1
31,3,0,702,0,42,39,-54.0,61.0,0.0,44,36,48.9,91.352,0.0,4929,4840,-1,-1
32,3,0,708,0,42,39,-54.0,61.0,0.0,44,36,48.9,91.352,0.0,4924,4860,-1,-1
33,3,0,708,0,45,39,82.0,18.0,0.0,44,36,48.9,91.352,0.0,4929,4840,-1,-1
34,3,0,701,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4924,4860,-1,-1
35,5,0,703,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4929,4840,-1,-1
36,5,0,706,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4924,4840,-1,-1
37,5,0,705,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4924,4860,-1,-1
38,5,0,707,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4929,4860,-1,-1
39,5,0,705,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4929,4840,-1,-1
40,0,1,704,0,42,38,-54.0,21.0,0.0,45,36,-88.0,96.0,0.0,4928,4919,-1,-1
41,0,1,702,0,45,37,-48.0,82.0,0.0,42,36,26.0,-4.0,0.0,4780,4919,-1,-1
42,0,1,701,0,45,39,82.0,18.0,0.0,43,36,-75.0,88.0,0.0,4800,4925,-1,-1
43,0,1,708,0,45,37,-48.0,82.0,0.0,42,38,-54.0,21.0,0.0,4890,4919,-1,-1
44,0,1,708,0,42,38,-54.0,21.0,0.0,43,36,-75.0,88.0,0.0,4780,4919,-1,-1
45,0,1,704,0,43,37,17.0,-58.0,0.0,44,39,-34.0,-22.0,0.0,4928,4926,-1,-1
46,0,1,704,0,45,37,-48.0,82.0,0.0,43,38,-84.0,-62.0,0.0,4800,4919,-1,4923
47,0,1,702,0,45,37,-48.0,82.0,0.0,42,36,26.0,-4.0,0.0,4780,4919,-1,4921
48,0,1,703,0,43,38,-84.0,-62.0,0.0,45,39,82.0,18.0,0.0,4928,4926,-1,-1
49,0,1,700,0,43,36,88.0,-29.0,0.0,42,38,-54.0,21.0,0.0,4800,4925,-1,-1
50,0,1,707,0,43,36,-75.0,88.0,0.0,44,39,-34.0,-22.0,0.0,4917,4926,-1,-1
51,0,1,705,0,42,38,-54.0,21.0,0.0,43,36,-75.0,88.0,0.0,4800,4919,-1,-1
52,0,1,707,0,43,36,88.0,-29.0,0.0,42,39,-54.0,61.0,0.0,4928,4925,-1,-1
53,0,1,701,0,43,36,-75.0,88.0,0.0,44,39,-34.0,-22.0,0.0,4917,4925,-1,-1
54,0,1,706,0,42,36,26.0,-4.0,0.0,45,37,-48.0,82.0,0.0,4917,4919,-1,-1
55,0,1,706,0,42,38,-54.0,21.0,0.0,43,36,88.0,-29.0,0.0,4890,4926,-1,-1
56,0,1,707,0,45,39,82.0,18.0,0.0,43,36,88.0,-29.0,0.0,4890,4919,-1,-1
57,0,1,703,0,43,38,-84.0,-62.0,0.0,43,36,88.0,-29.0,0.0,4917,4919,-1,-1
58,0,1,700,0,42,39,-54.0,61.0,0.0,43,37,17.0,-58.0,0.0,4890,4926,-1,-1
59,0,1,708,0,43,36,-75.0,88.0,0.0,45,39,82.0,18.0,0.0,4780,4925,-1,-1
60,1,1,708,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4800,4919,-1,-1
61,1,1,700,0,45,39,82.0,18.0,0.0,43,38,-26.54,35.82,0.0,4780,4925,-1,-1
62,1,1,708,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4890,4926,-1,-1
63,1,1,705,0,42,36,26.0,-4.0,0.0,43,38,-26.54,35.82,0.0,4917,4925,-1,-1
64,1,1,707,0,45,37,-48.0,82.0,0.0,43,38,-26.54,35.82,0.0,4928,4919,-1,-1
65,2,1,705,0,43,36,88.0,-29.0,0.0,43,39,88.99,96.707,0.0,4917,4925,-1,-1
66,2,1,704,0,43,36,-75.0,88.0,0.0,43,39,88.99,96.707,0.0,4780,4926,-1,-1
67,2,1,705,0,45,36,-88.0,96.0,0.0,43,39,88.99,96.707,0.0,4928,4919,-1,-1
68,2,1,708,0,42,38,-54.0,21.0,0.0,43,39,88.99,96.707,0.0,4800,4919,-1,4925
69,2,1,700,0,43,37,17.0,-58.0,0.0,43,39,88.99,96.707,0.0,4890,4925,-1,-1
70,3,1,703,0,43,38,-84.0,-62.0,0.0,44,36,48.9,91.352,0.0,4917,4919,4810,-1
71,3,1,708,0,43,36,-75.0,88.0,0.0,45,37,-30.535,53.865,0.0,4800,4926,-1,-1
72,3,1,701,0,42,36,26.0,-4.0,0.0,44,36,48.9,91.352,0.0,4890,4926,-1,-1
73,3,1,708,0,42,38,-54.0,21.0,0.0,45,37,-30.535,53.865,0.0,4780,4919,-1,-1
74,3,1,701,0,44,39,-34.0,-22.0,0.0,45,37,-30.535,53.865,0.0,4928,4925,-1,-1
75,5,1,706,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4917,4926,-1,-1
76,5,1,706,0,42,39,-54.0,61.0,0.0,43,37,36.38,41.32,0.0,4928,4919,-1,-1
77,5,1,702,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4800,4925,-1,-1
78,5,1,707,0,42,39,-54.0,61.0,0.0,43,37,36.38,41.32,0.0,4890,4926,-1,-1
79,5,1,704,0,42,39,-54.0,61.0,0.0,43,37,36.38,41.32,0.0,4780,4919,-1,-1
80,0,2,705,0,43,36,88.0,-29.0,0.0,45,39,82.0,18.0,0.0,4770,4918,-1,-1
81,0,2,702,0,43,36,88.0,-29.0,0.0,43,38,-84.0,-62.0,0.0,4810,4923,-1,-1
82,0,2,706,0,43,36,88.0,-29.0,0.0,42,38,-54.0,21.0,0.0,4810,4923,-1,-1
83,0,2,703,0,44,37,-53.0,64.0,0.0,42,36,26.0,-4.0,0.0,4927,4850,-1,-1
84,0,2,707,0,42,38,-54.0,21.0,0.0,44,39,-34.0,-22.0,0.0,4770,4850,-1,-1
85,0,2,707,0,45,36,-88.0,96.0,0.0,42,38,-54.0,21.0,0.0,4770,4923,-1,-1
86,0,2,705,0,45,39,82.0,18.0,0.0,42,39,-54.0,61.0,0.0,4810,4850,-1,-1
87,0,2,705,0,42,38,-54.0,21.0,0.0,44,37,-53.0,64.0,0.0,4927,4850,-1,-1
88,0,2,704,0,45,37,-48.0,82.0,0.0,42,39,-54.0,61.0,0.0,4990,4918,-1,-1
89,0,2,704,0,45,39,82.0,18.0,0.0,43,38,-84.0,-62.0,0.0,4810,4923,-1,-1
90,0,2,701,0,43,36,-75.0,88.0,0.0,45,37,-48.0,82.0,0.0,4790,4923,-1,-1
91,0,2,704,0,44,39,-34.0,-22.0,0.0,42,36,26.0,-4.0,0.0,4790,4918,-1,-1
92,0,2,708,0,44,39,-34.0,-22.0,0.0,42,39,-54.0,61.0,0.0,4927,4923,-1,-1
93,0,2,708,0,42,39,-54.0,61.0,0.0,43,38,-84.0,-62.0,0.0,4990,4918,-1,-1
94,0,2,707,0,43,37,17.0,-58.0,0.0,45,39,82.0,18.0,0.0,4927,4918,-1,-1
95,0,2,708,0,44,39,-34.0,-22.0,0.0,43,37,17.0,-58.0,0.0,4990,4850,-1,-1
96,0,2,700,0,42,38,-54.0,21.0,0.0,45,36,-88.0,96.0,0.0,4990,4918,-1,-1
97,0,2,708,0,42,38,-54.0,21.0,0.0,43,36,-75.0,88.0,0.0,4790,4918,-1,-1
98,0,2,701,0,43,37,17.0,-58.0,0.0,45,39,82.0,18.0,0.0,4770,4918,-1,-1
99,0,2,703,0,42,38,-54.0,21.0,0.0,45,39,82.0,18.0,0.0,4790,4850,-1,-1
100,1,2,707,0,42,36,26.0,-4.0,0.0,43,38,-26.54,35.82,0.0,4810,4850,-1,-1
101,1,2,707,0,45,39,82.0,18.0,0.0,43,38,-26.54,35.82,0.0,4790,4918,-1,-1
102,1,2,708,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4770,4850,-1,-1
103,1,2,707,0,45,39,82.0,18.0,0.0,43,38,-26.54,35.82,0.0,4927,4918,-1,-1
104,1,2,705,0,42,36,26.0,-4.0,0.0,43,38,-26.54,35.82,0.0,4990,4923,-1,-1
105,2,2,708,0,43,37,17.0,-58.0,0.0,43,39,88.99,96.707,0.0,4790,4923,-1,-1
106,2,2,707,0,44,37,-53.0,64.0,0.0,43,39,88.99,96.707,0.0,4770,4923,-1,-1
107,2,2,702,0,45,36,-88.0,96.0,0.0,43,39,88.99,96.707,0.0,4810,4850,-1,-1
108,2,2,707,0,43,36,88.0,-29.0,0.0,43,39,88.99,96.707,0.0,4990,4850,-1,-1
109,2,2,701,0,44,37,-53.0,64.0,0.0,43,39,88.99,96.707,0.0,4927,4850,-1,-1
110,3,2,700,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4810,4918,-1,-1
111,3,2,700,0,45,39,82.0,18.0,0.0,44,36,48.9,91.352,0.0,4790,4918,-1,-1
112,3,2,706,0,43,36,-75.0,88.0,0.0,45,37,-30.535,53.865,0.0,4990,4923,-1,-1
113,3,2,706,0,44,39,-34.0,-22.0,0.0,44,36,48.9,91.352,0.0,4770,4850,-1,-1
114,3,2,702,0,45,39,82.0,18.0,0.0,44,36,48.9,91.352,0.0,4927,4923,-1,-1
115,5,2,708,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4990,4850,-1,-1
116,5,2,708,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4790,4923,-1,-1
117,5,2,705,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4927,4918,-1,-1
118,5,2,702,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4770,4918,-1,-1
119,5,2,704,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4810,4923,-1,-1
120,0,3,704,0,43,36,88.0,-29.0,0.0,42,38,-54.0,21.0,0.0,4780,4880,-1,-1
121,0,3,706,0,42,38,-54.0,21.0,0.0,45,39,82.0,18.0,0.0,4917,4860,-1,-1
122,0,3,704,0,45,36,-88.0,96.0,0.0,43,38,-84.0,-62.0,0.0,4890,4880,-1,-1
123,0,3,700,0,44,39,-34.0,-22.0,0.0,42,39,-54.0,61.0,0.0,4780,4860,-1,-1
124,0,3,707,0,42,36,26.0,-4.0,0.0,45,36,-88.0,96.0,0.0,4890,4920,-1,-1
125,0,3,700,0,44,37,-53.0,64.0,0.0,42,39,-54.0,61.0,0.0,4810,4920,-1,-1
126,0,3,704,0,43,36,88.0,-29.0,0.0,42,38,-54.0,21.0,0.0,4917,4860,-1,-1
127,0,3,703,0,44,39,-34.0,-22.0,0.0,43,36,-75.0,88.0,0.0,4910,4920,-1,-1
128,0,3,701,0,45,36,-88.0,96.0,0.0,43,38,-84.0,-62.0,0.0,4810,4860,-1,-1
129,0,3,702,0,45,37,-48.0,82.0,0.0,43,36,-75.0,88.0,0.0,4910,4860,-1,-1
130,0,3,705,0,43,36,-75.0,88.0,0.0,42,39,-54.0,61.0,0.0,4810,4920,-1,-1
131,0,3,708,0,45,37,-48.0,82.0,0.0,42,38,-54.0,21.0,0.0,4780,4920,-1,-1
132,0,3,702,0,42,38,-54.0,21.0,0.0,45,37,-48.0,82.0,0.0,4810,4880,-1,-1
133,0,3,706,0,44,39,-34.0,-22.0,0.0,43,37,17.0,-58.0,0.0,4917,4920,-1,-1
134,0,3,700,0,44,37,-53.0,64.0,0.0,42,36,26.0,-4.0,0.0,4890,4860,-1,-1
135,0,3,702,0,43,36,-75.0,88.0,0.0,45,39,82.0,18.0,0.0,4780,4920,-1,-1
136,0,3,706,0,42,39,-54.0,61.0,0.0,43,37,17.0,-58.0,0.0,4890,4880,-1,-1
137,0,3,708,0,45,39,82.0,18.0,0.0,43,36,-75.0,88.0,0.0,4917,4880,-1,-1
138,0,3,700,0,45,39,82.0,18.0,0.0,43,38,-84.0,-62.0,0.0,4910,4880,-1,-1
139,0,3,707,0,43,37,17.0,-58.0,0.0,45,39,82.0,18.0,0.0,4910,4920,-1,-1
140,1,3,700,0,42,36,26.0,-4.0,0.0,43,38,-26.54,35.82,0.0,4917,4860,-1,-1
141,1,3,704,0,45,37,-48.0,82.0,0.0,43,38,-26.54,35.82,0.0,4910,4880,-1,-1
142,1,3,700,0,45,37,-48.0,82.0,0.0,43,38,-26.54,35.82,0.0,4810,4920,-1,-1
143,1,3,704,0,45,37,-48.0,82.0,0.0,43,38,-26.54,35.82,0.0,4890,4860,-1,-1
144,1,3,707,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4780,4920,-1,-1
145,2,3,702,0,45,37,-48.0,82.0,0.0,43,39,88.99,96.707,0.0,4890,4880,-1,-1
146,2,3,704,0,42,38,-54.0,21.0,0.0,43,39,88.99,96.707,0.0,4810,4920,-1,-1
147,2,3,705,0,43,36,88.0,-29.0,0.0,43,39,88.99,96.707,0.0,4910,4920,-1,-1
148,2,3,708,0,45,39,82.0,18.0,0.0,43,39,88.99,96.707,0.0,4780,4860,-1,-1
149,2,3,705,0,42,38,-54.0,21.0,0.0,43,39,88.99,96.707,0.0,4917,4880,-1,-1
150,3,3,700,0,43,38,-84.0,-62.0,0.0,44,36,48.9,91.352,0.0,4890,4860,-1,-1
151,3,3,702,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4780,4920,-1,-1
152,3,3,700,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4910,4920,-1,-1
153,3,3,708,0,43,38,-84.0,-62.0,0.0,45,37,-30.535,53.865,0.0,4810,4880,-1,-1
154,3,3,701,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4917,4880,-1,-1
155,5,3,702,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4910,4880,-1,-1
156,5,3,703,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4780,4920,-1,-1
157,5,3,704,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4917,4860,-1,-1
158,5,3,706,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4810,4920,-1,-1
159,5,3,702,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4890,4880,-1,-1
160,0,4,701,0,42,39,-54.0,61.0,0.0,44,39,-34.0,-22.0,0.0,4927,4925,-1,-1
161,0,4,701,0,43,36,-75.0,88.0,0.0,44,39,-34.0,-22.0,0.0,4770,4921,-1,-1
162,0,4,700,0,42,39,-54.0,61.0,0.0,45,36,-88.0,96.0,0.0,4790,4921,-1,-1
163,0,4,704,0,44,39,-34.0,-22.0,0.0,42,36,26.0,-4.0,0.0,4770,4925,-1,-1
164,0,4,701,0,42,36,26.0,-4.0,0.0,45,36,-88.0,96.0,0.0,4790,4880,-1,-1
165,0,4,705,0,42,39,-54.0,61.0,0.0,44,37,-53.0,64.0,0.0,4927,4921,-1,-1
166,0,4,702,0,43,37,17.0,-58.0,0.0,45,39,82.0,18.0,0.0,4800,4925,-1,-1
167,0,4,707,0,45,37,-48.0,82.0,0.0,43,38,-84.0,-62.0,0.0,4800,4921,-1,-1
168,0,4,700,0,42,38,-54.0,21.0,0.0,44,39,-34.0,-22.0,0.0,4930,4921,-1,-1
169,0,4,703,0,43,36,88.0,-29.0,0.0,43,38,-84.0,-62.0,0.0,4770,4880,-1,-1
170,0,4,706,0,44,37,-53.0,64.0,0.0,42,36,26.0,-4.0,0.0,4930,4921,-1,-1
171,0,4,704,0,42,38,-54.0,21.0,0.0,44,39,-34.0,-22.0,0.0,4800,4921,-1,-1
172,0,4,706,0,44,37,-53.0,64.0,0.0,45,39,82.0,18.0,0.0,4790,4880,-1,-1
173,0,4,705,0,43,36,-75.0,88.0,0.0,42,39,-54.0,61.0,0.0,4800,4921,-1,-1
174,0,4,707,0,45,39,82.0,18.0,0.0,42,38,-54.0,21.0,0.0,4790,4925,-1,-1
175,0,4,705,0,43,36,88.0,-29.0,0.0,42,39,-54.0,61.0,0.0,4770,4925,-1,-1
176,0,4,708,0,42,38,-54.0,21.0,0.0,43,36,-75.0,88.0,0.0,4927,4880,-1,-1
177,0,4,703,0,45,39,82.0,18.0,0.0,44,37,-53.0,64.0,0.0,4927,4921,-1,-1
178,0,4,703,0,45,39,82.0,18.0,0.0,43,36,-75.0,88.0,0.0,4930,4925,-1,-1
179,0,4,703,0,45,39,82.0,18.0,0.0,44,37,-53.0,64.0,0.0,4930,4921,-1,-1
180,1,4,708,0,43,36,88.0,-29.0,0.0,43,38,-26.54,35.82,0.0,4930,4925,-1,-1
181,1,4,708,0,45,37,-48.0,82.0,0.0,43,38,-26.54,35.82,0.0,4790,4880,-1,-1
182,1,4,708,0,43,36,88.0,-29.0,0.0,43,38,-26.54,35.82,0.0,4927,4921,-1,-1
183,1,4,707,0,43,36,88.0,-29.0,0.0,43,38,-26.54,35.82,0.0,4800,4925,-1,-1
184,1,4,708,0,43,36,88.0,-29.0,0.0,43,38,-26.54,35.82,0.0,4770,4921,-1,-1
185,2,4,707,0,42,38,-54.0,21.0,0.0,43,39,88.99,96.707,0.0,4790,4921,-1,-1
186,2,4,704,0,43,36,-75.0,88.0,0.0,43,39,88.99,96.707,0.0,4930,4880,-1,-1
187,2,4,704,0,43,36,-75.0,88.0,0.0,43,39,88.99,96.707,0.0,4800,4925,-1,-1
188,2,4,705,0,45,37,-48.0,82.0,0.0,43,39,88.99,96.707,0.0,4770,4921,-1,-1
189,2,4,701,0,43,37,17.0,-58.0,0.0,43,39,88.99,96.707,0.0,4927,4925,-1,-1
190,3,4,700,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4800,4925,-1,-1
191,3,4,700,0,44,39,-34.0,-22.0,0.0,44,36,48.9,91.352,0.0,4927,4925,-1,-1
192,3,4,706,0,45,39,82.0,18.0,0.0,44,36,48.9,91.352,0.0,4790,4921,-1,-1
193,3,4,702,0,42,39,-54.0,61.0,0.0,44,36,48.9,91.352,0.0,4930,4880,-1,-1
194,3,4,708,0,42,38,-54.0,21.0,0.0,44,36,48.9,91.352,0.0,4770,4921,-1,-1
195,5,4,708,0,42,39,-54.0,61.0,0.0,43,37,36.38,41.32,0.0,4927,4880,-1,-1
196,5,4,705,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4800,4925,-1,-1
197,5,4,702,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4790,4925,-1,-1
198,5,4,704,0,42,39,-54.0,61.0,0.0,43,37,36.38,41.32,0.0,4770,4921,-1,-1
199,5,4,703,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4930,4921,-1,-1
200,0,5,704,0,45,37,-48.0,82.0,0.0,42,39,-54.0,61.0,0.0,4780,4820,-1,-1
201,0,5,703,0,42,38,-54.0,21.0,0.0,43,36,-75.0,88.0,0.0,4930,4926,-1,-1
202,0,5,703,0,42,39,-54.0,61.0,0.0,43,37,17.0,-58.0,0.0,4790,4926,-1,-1
203,0,5,700,0,44,39,-34.0,-22.0,0.0,42,36,26.0,-4.0,0.0,4890,4820,-1,-1
204,0,5,704,0,44,37,-53.0,64.0,0.0,42,38,-54.0,21.0,0.0,4928,4926,-1,-1
205,0,5,702,0,42,36,26.0,-4.0,0.0,45,37,-48.0,82.0,0.0,4790,4820,-1,-1
206,0,5,700,0,44,37,-53.0,64.0,0.0,42,39,-54.0,61.0,0.0,4928,4923,-1,-1
207,0,5,701,0,43,38,-84.0,-62.0,0.0,45,39,82.0,18.0,0.0,4890,4923,-1,-1
208,0,5,708,0,45,37,-48.0,82.0,0.0,43,38,-84.0,-62.0,0.0,4890,4926,-1,-1
209,0,5,708,0,42,36,26.0,-4.0,0.0,45,39,82.0,18.0,0.0,4790,4820,-1,4840
210,0,5,702,0,45,37,-48.0,82.0,0.0,43,36,-75.0,88.0,0.0,4790,4820,-1,-1
211,0,5,700,0,42,36,26.0,-4.0,0.0,42,39,-54.0,61.0,0.0,4780,4923,4917,-1
212,0,5,706,0,43,36,88.0,-29.0,0.0,43,38,-84.0,-62.0,0.0,4780,4820,-1,-1
213,0,5,707,0,43,37,17.0,-58.0,0.0,44,39,-34.0,-22.0,0.0,4930,4923,-1,-1
214,0,5,701,0,44,37,-53.0,64.0,0.0,42,36,26.0,-4.0,0.0,4928,4820,-1,-1
215,0,5,707,0,42,39,-54.0,61.0,0.0,43,36,88.0,-29.0,0.0,4928,4820,-1,-1
216,0,5,704,0,44,39,-34.0,-22.0,0.0,42,36,26.0,-4.0,0.0,4780,4923,-1,-1
217,0,5,708,0,42,39,-54.0,61.0,0.0,43,37,17.0,-58.0,0.0,4930,4926,-1,-1
218,0,5,700,0,43,36,-75.0,88.0,0.0,42,39,-54.0,61.0,0.0,4890,4820,-1,-1
219,0,5,704,0,42,38,-54.0,21.0,0.0,45,37,-48.0,82.0,0.0,4930,4820,-1,-1
220,1,5,706,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4890,4923,4924,-1
221,1,5,707,0,45,37,-48.0,82.0,0.0,43,38,-26.54,35.82,0.0,4780,4926,-1,-1
222,1,5,707,0,42,36,26.0,-4.0,0.0,43,38,-26.54,35.82,0.0,4930,4820,-1,-1
223,1,5,707,0,45,36,-88.0,96.0,0.0,43,38,-26.54,35.82,0.0,4790,4820,-1,-1
224,1,5,701,0,42,36,26.0,-4.0,0.0,43,38,-26.54,35.82,0.0,4928,4923,-1,-1
225,2,5,700,0,43,36,88.0,-29.0,0.0,43,39,88.99,96.707,0.0,4790,4926,-1,-1
226,2,5,702,0,43,37,17.0,-58.0,0.0,43,39,88.99,96.707,0.0,4930,4923,-1,-1
227,2,5,701,0,44,37,-53.0,64.0,0.0,43,39,88.99,96.707,0.0,4780,4820,-1,-1
228,2,5,700,0,44,37,-53.0,64.0,0.0,43,39,88.99,96.707,0.0,4890,4923,-1,-1
229,2,5,708,0,43,37,17.0,-58.0,0.0,43,39,88.99,96.707,0.0,4928,4820,-1,-1
230,3,5,701,0,42,39,-54.0,61.0,0.0,45,37,-30.535,53.865,0.0,4790,4923,-1,-1
231,3,5,703,0,42,36,26.0,-4.0,0.0,44,36,48.9,91.352,0.0,4890,4820,-1,-1
232,3,5,708,0,43,38,-84.0,-62.0,0.0,44,36,48.9,91.352,0.0,4780,4926,-1,-1
233,3,5,706,0,43,38,-84.0,-62.0,0.0,44,36,48.9,91.352,0.0,4930,4820,-1,-1
234,3,5,701,0,44,39,-34.0,-22.0,0.0,44,36,48.9,91.352,0.0,4928,4926,-1,4830
235,5,5,705,0,42,39,-54.0,61.0,0.0,43,37,36.38,41.32,0.0,4890,4923,-1,-1
236,5,5,702,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4780,4820,-1,-1
237,5,5,702,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4930,4926,-1,-1
238,5,5,705,0,42,38,-54.0,21.0,0.0,43,37,36.38,41.32,0.0,4928,4820,-1,-1
239,5,5,705,0,45,39,82.0,18.0,0.0,43,37,36.38,41.32,0.0,4790,4926,-1,-1
240,0,6,706,0,43,36,-75.0,88.0,0.0,45,39,82.0,18.0,0.0,4990,4830,-1,-1
241,0,6,700,0,42,36,26.0,-4.0,0.0,45,37,-48.0,82.0,0.0,4990,4830,-1,-1
242,0,6,701,0,44,37,-53.0,64.0,0.0,42,39,-54.0,61.0,0.0,4810,4830,-1,-1
243,0,6,700,0,45,36,-88.0,96.0,0.0,42,36,26.0,-4.0,0.0,4910,4830,-1,-1
244,0,6,705,0,43,37,17.0,-58.0,0.0,45,39,82.0,18.0,0.0,4810,4850,-1,-1
