attachId:int,map:int,dlc:int,rate:float,gridXNo:int,gridZNo:int,posX:float,posZ:float,height:float
618,0,0,0.05,42,37,-107.05,108.15,168.32
634,0,0,0.05,43,38,54.99,-94.64,97.33
638,0,0,0.05,43,39,86.78,3.42,100.98
652,0,0,0.05,45,36,-2.33,-68.37,1.09
623,0,0,0.05,42,38,34.33,36.93,151.63
630,0,0,0.05,43,37,119.14,-94.37,89.27
640,0,0,0.05,44,36,-57.72,88.02,85.86
642,0,0,0.05,44,37,-82.64,-14.15,80.52
639,0,0,0.05,44,36,15.38,3.6,97.96
656,0,0,0.05,45,37,51.3,90.3,19.18
631,0,0,0.05,43,37,-70.46,-11.13,85.05
625,0,0,0.05,42,39,57.26,16.37,206.91
657,0,0,0.05,45,38,-45.8,99.06,60.28
649,0,0,0.05,44,39,85.68,19.94,115.62
635,0,0,0.05,43,38,-82.2,88.58,189.85
624,0,0,0.05,42,39,38.17,59.14,206.62
629,0,0,0.05,43,36,59.18,-109.54,66.28
626,0,0,0.05,42,39,81.27,-92.36,189.24
615,0,0,0.05,42,36,111.35,-13.79,64.99
636,0,0,0.05,43,39,-110.69,109.7,219.68
602,0,0,1.0,43,37,-107.35,-74.35,64.06
604,0,0,1.0,43,39,99.79,82.09,101.23
606,0,0,1.0,44,38,73.22,82.15,84.52
601,0,0,1.0,42,39,-125.4,-102.97,222.28
605,0,0,1.0,44,36,57.3,-26.55,90.31
607,0,0,1.0,45,38,61.87,-109.62,17.62
603,0,0,1.0,43,38,44.37,53.18,137.33
117,0,0,1.0,45,39,-56.0,54.0,95.0
109,0,0,1.0,44,37,75.0,-9.0,30.0
113,0,0,1.0,45,36,-5.0,20.0,16.0
122,0,0,1.0,42,37,108.0,50.0,89.0
100,0,0,1.0,42,37,108.0,50.0,89.0
128,0,0,1.0,45,37,4.0,-68.0,22.0
114,0,0,1.0,45,37,4.0,-68.0,22.0
306,0,0,1.0,43,38,-86.0,32.0,188.0
356,0,0,1.0,43,38,-86.0,32.0,188.0
360,0,0,1.0,44,39,-72.0,44.0,153.0
310,0,0,1.0,44,39,-72.0,44.0,153.0
307,0,0,1.0,44,36,-22.0,-72.0,79.0
357,0,0,1.0,44,36,-22.0,-72.0,79.0
712,0,0,0.025,43,37,-50.23,-111.54,77.28
713,0,0,0.0125,43,38,-8.95,-23.48,124.89
590,0,0,0.1375,45,37,-90.47,96.33,20.61
570,0,0,0.1375,45,37,-90.47,96.33,20.61
530,0,0,0.1375,45,37,-90.47,96.33,20.61
550,0,0,0.1375,45,37,-90.47,96.33,20.61
587,0,0,0.2375,44,39,-34.0,-22.0,136.97
547,0,0,0.2375,44,39,-34.0,-22.0,136.97
527,0,0,0.2375,44,39,-34.0,-22.0,136.97
567,0,0,0.2375,44,39,-34.0,-22.0,136.97
523,0,0,0.14375,43,36,-75.0,88.0,64.81
563,0,0,0.14375,43,36,-75.0,88.0,64.81
583,0,0,0.14375,43,36,-75.0,88.0,64.81
543,0,0,0.14375,43,36,-75.0,88.0,64.81
561,0,0,0.16875,42,38,-54.0,21.0,191.93
581,0,0,0.16875,42,38,-54.0,21.0,191.93
541,0,0,0.16875,42,38,-54.0,21.0,191.93
521,0,0,0.16875,42,38,-54.0,21.0,191.93
544,0,0,0.13125,43,37,17.0,-58.0,86.31
584,0,0,0.13125,43,37,17.0,-58.0,86.31
564,0,0,0.13125,43,37,17.0,-58.0,86.31
524,0,0,0.13125,43,37,17.0,-58.0,86.31
568,0,0,0.2375,45,39,64.0,41.0,103.7
528,0,0,0.2375,45,39,64.0,41.0,103.7
548,0,0,0.2375,45,39,64.0,41.0,103.7
588,0,0,0.2375,45,39,64.0,41.0,103.7
576,0,0,0.16875,44,37,-53.0,64.0,69.24
546,0,0,0.16875,44,37,-53.0,64.0,69.24
586,0,0,0.16875,44,37,-53.0,64.0,69.24
555,0,0,0.16875,44,37,-53.0,64.0,69.24
526,0,0,0.16875,44,37,-53.0,64.0,69.24
595,0,0,0.16875,44,37,-53.0,64.0,69.24
566,0,0,0.16875,44,37,-53.0,64.0,69.24
535,0,0,0.16875,44,37,-53.0,64.0,69.24
569,0,0,0.20625,45,36,-86.0,89.0,28.0
589,0,0,0.20625,45,36,-86.0,89.0,28.0
549,0,0,0.20625,45,36,-86.0,89.0,28.0
529,0,0,0.20625,45,36,-86.0,89.0,28.0
582,0,0,0.15,43,36,88.0,-29.0,64.81
562,0,0,0.15,43,36,88.0,-29.0,64.81
522,0,0,0.15,43,36,88.0,-29.0,64.81
542,0,0,0.15,43,36,88.0,-29.0,64.81
585,0,0,0.14375,43,38,-84.0,-62.0,131.22
545,0,0,0.14375,43,38,-84.0,-62.0,131.22
525,0,0,0.14375,43,38,-84.0,-62.0,131.22
565,0,0,0.14375,43,38,-84.0,-62.0,131.22
560,0,0,0.175,42,36,26.0,-4.0,79.0
520,0,0,0.175,42,36,26.0,-4.0,79.0
540,0,0,0.175,42,36,26.0,-4.0,79.0
580,0,0,0.175,42,36,26.0,-4.0,79.0
718,0,0,0.025,45,39,44.29,-22.02,91.86
716,0,0,0.0125,44,37,-100.08,-3.66,82.22
710,0,0,0.025,42,36,56.59,71.43,95.08
717,0,0,0.00625,44,39,-120.0,32.97,-159.08
715,0,0,0.01875,44,36,-65.83,-26.8,70.65
711,0,0,0.03125,42,39,49.95,-44.26,205.12
2120,0,1,1.0,42,38,53.0,-44.0,143.0
2123,0,1,1.0,42,38,53.0,-44.0,143.0
2124,0,1,1.0,42,38,53.0,-44.0,143.0
2103,0,1,1.0,42,39,-30.0,-45.0,192.0
2104,0,1,1.0,43,36,-29.0,-49.0,65.0
2116,0,1,1.0,45,38,39.0,-9.0,35.0
2122,0,1,1.0,42,37,108.0,50.0,89.0
2100,0,1,1.0,42,37,108.0,50.0,89.0
2117,0,1,1.0,45,39,-56.0,54.0,95.0
2107,0,1,1.0,43,39,-24.0,111.0,198.0
2121,0,1,1.0,42,37,45.0,-107.0,98.0
2101,0,1,1.0,42,37,45.0,-107.0,98.0
2113,0,1,1.0,45,36,-5.0,20.0,16.0
2106,0,1,1.0,43,39,0.0,-77.0,176.0
2110,0,1,1.0,44,38,2.0,-13.0,85.0
2112,0,1,1.0,44,39,73.0,-64.0,110.0
2127,0,1,1.0,44,39,73.0,-64.0,110.0
2108,0,1,1.0,44,36,45.0,98.0,87.0
2125,0,1,1.0,44,36,45.0,98.0,87.0
2126,0,1,1.0,44,36,45.0,98.0,87.0
2306,0,1,1.0,43,38,-86.0,32.0,188.0
2356,0,1,1.0,43,38,-86.0,32.0,188.0
2301,0,1,1.0,42,37,-66.0,44.0,159.0
2351,0,1,1.0,42,37,-66.0,44.0,159.0
2314,0,1,1.0,45,38,-86.0,81.0,58.0
2364,0,1,1.0,45,38,-86.0,81.0,58.0
2360,0,1,1.0,44,39,-72.0,44.0,153.0
2310,0,1,1.0,44,39,-72.0,44.0,153.0
2313,0,1,1.0,45,38,44.0,97.0,12.0
2300,0,1,1.0,42,36,-74.0,62.0,92.0
2350,0,1,1.0,42,36,-74.0,62.0,92.0
2352,0,1,1.0,42,38,-48.0,98.46,192.0
2302,0,1,1.0,42,38,-48.0,98.46,192.0
2305,0,1,1.0,43,36,57.0,85.0,64.0
2756,0,1,2.0,43,37,37.57,62.69,125.31
2757,0,1,2.0,43,37,37.57,62.69,125.31
2760,0,1,1.0,44,38,-49.54,55.63,94.77
2763,0,1,1.0,45,37,22.18,117.69,18.69
2753,0,1,1.0,42,38,94.25,65.8,184.18
2755,0,1,1.0,43,36,25.03,54.58,64.82
2761,0,1,1.0,44,39,79.16,50.83,124.65
2759,0,1,1.0,43,39,84.86,-167.25,106.27
2750,0,1,1.0,42,36,93.28,-111.43,75.15
2754,0,1,1.0,42,39,69.86,90.74,209.89
2762,0,1,1.0,45,36,-102.93,-46.38,35.32
2758,0,1,1.0,43,39,-124.81,19.15,219.86
2544,0,1,0.3625,43,37,17.0,-58.0,86.31
2584,0,1,0.3625,43,37,17.0,-58.0,86.31
2524,0,1,0.3625,43,37,17.0,-58.0,86.31
2564,0,1,0.3625,43,37,17.0,-58.0,86.31
2550,0,1,0.3625,45,37,-90.47,96.33,20.61
2530,0,1,0.3625,45,37,-90.47,96.33,20.61
2570,0,1,0.3625,45,37,-90.47,96.33,20.61
2590,0,1,0.3625,45,37,-90.47,96.33,20.61
2587,0,1,0.3875,44,39,-34.0,-22.0,136.97
2567,0,1,0.3875,44,39,-34.0,-22.0,136.97
2547,0,1,0.3875,44,39,-34.0,-22.0,136.97
2527,0,1,0.3875,44,39,-34.0,-22.0,136.97
2528,0,1,0.3875,45,39,64.0,41.0,103.7
2568,0,1,0.3875,45,39,64.0,41.0,103.7
2588,0,1,0.3875,45,39,64.0,41.0,103.7
2548,0,1,0.3875,45,39,64.0,41.0,103.7
2541,0,1,0.3875,42,38,-54.0,21.0,191.93
2521,0,1,0.3875,42,38,-54.0,21.0,191.93
2581,0,1,0.3875,42,38,-54.0,21.0,191.93
2561,0,1,0.3875,42,38,-54.0,21.0,191.93
2563,0,1,0.2625,43,36,-75.0,88.0,64.81
2543,0,1,0.2625,43,36,-75.0,88.0,64.81
2523,0,1,0.2625,43,36,-75.0,88.0,64.81
2583,0,1,0.2625,43,36,-75.0,88.0,64.81
2585,0,1,0.3875,43,38,-84.0,-62.0,131.22
2565,0,1,0.3875,43,38,-84.0,-62.0,131.22
2545,0,1,0.3875,43,38,-84.0,-62.0,131.22
2525,0,1,0.3875,43,38,-84.0,-62.0,131.22
2549,0,1,0.3875,45,36,-86.0,89.0,28.0
2529,0,1,0.3875,45,36,-86.0,89.0,28.0
2589,0,1,0.3875,45,36,-86.0,89.0,28.0
2569,0,1,0.3875,45,36,-86.0,89.0,28.0
2603,0,1,1.0,43,38,44.37,53.18,137.33
2605,0,1,1.0,44,36,57.3,-26.55,90.31
2604,0,1,1.0,43,39,99.79,82.09,101.23
2606,0,1,1.0,44,38,73.22,82.15,84.52
2601,0,1,1.0,42,39,-125.4,-102.97,222.28
2607,0,1,1.0,45,38,61.87,-109.62,17.62
2602,0,1,1.0,43,37,-107.35,-74.35,64.06
2712,0,1,0.05,43,37,-50.23,-111.54,77.28
2129,0,1,1.0,44,38,126.0,-70.0,32.0
2111,0,1,1.0,44,38,126.0,-70.0,32.0
2109,0,1,1.0,44,37,75.0,-9.0,30.0
2128,0,1,1.0,45,37,4.0,-68.0,22.0
2114,0,1,1.0,45,37,4.0,-68.0,22.0
2307,0,1,1.0,44,36,-22.0,-72.0,79.0
2357,0,1,1.0,44,36,-22.0,-72.0,79.0
2308,0,1,1.0,44,37,-52.0,-76.0,87.0
2358,0,1,1.0,44,37,-52.0,-76.0,87.0
2312,0,1,1.0,45,37,86.0,4.0,24.0
2362,0,1,1.0,45,37,86.0,4.0,24.0
2535,0,1,0.2625,44,37,-53.0,64.0,69.24
2546,0,1,0.2625,44,37,-53.0,64.0,69.24
2586,0,1,0.2625,44,37,-53.0,64.0,69.24
2555,0,1,0.2625,44,37,-53.0,64.0,69.24
2526,0,1,0.2625,44,37,-53.0,64.0,69.24
2520,0,1,0.2875,42,36,26.0,-4.0,79.0
2580,0,1,0.2875,42,36,26.0,-4.0,79.0
2540,0,1,0.2875,42,36,26.0,-4.0,79.0
2714,0,1,0.0625,44,36,103.03,-6.62,82.1
2711,0,1,0.0375,42,39,49.95,-44.26,205.12
2542,0,1,0.3,43,36,88.0,-29.0,64.81
2522,0,1,0.3,43,36,88.0,-29.0,64.81
2562,0,1,0.3,43,36,88.0,-29.0,64.81
2582,0,1,0.3,43,36,88.0,-29.0,64.81
2713,0,1,0.0625,43,38,-8.95,-23.48,124.89
2718,0,1,0.0125,45,39,44.29,-22.02,91.86
2717,0,1,0.025,44,39,-120.0,32.97,-159.08
2716,0,1,0.025,44,37,-100.08,-3.66,82.22
2715,0,1,0.025,44,36,-65.83,-26.8,70.65
2710,0,1,0.025,42,36,56.59,71.43,95.08
129,1,0,1.0,44,38,126.0,-70.0,32.0
111,1,0,1.0,44,38,126.0,-70.0,32.0
104,1,0,1.0,43,36,-29.0,-49.0,65.0
109,1,0,1.0,44,37,75.0,-9.0,30.0
122,1,0,1.0,42,37,108.0,50.0,89.0
100,1,0,1.0,42,37,108.0,50.0,89.0
128,1,0,1.0,45,37,4.0,-68.0,22.0
114,1,0,1.0,45,37,4.0,-68.0,22.0
108,1,0,1.0,44,36,45.0,98.0,87.0
125,1,0,1.0,44,36,45.0,98.0,87.0
126,1,0,1.0,44,36,45.0,98.0,87.0
112,1,0,1.0,44,39,73.0,-64.0,110.0
127,1,0,1.0,44,39,73.0,-64.0,110.0
121,1,0,1.0,42,37,45.0,-107.0,98.0
101,1,0,1.0,42,37,45.0,-107.0,98.0
113,1,0,1.0,45,36,-5.0,20.0,16.0
117,1,0,1.0,45,39,-56.0,54.0,95.0
314,1,0,1.0,45,38,-86.0,81.0,58.0
364,1,0,1.0,45,38,-86.0,81.0,58.0
307,1,0,1.0,44,36,-22.0,-72.0,79.0
357,1,0,1.0,44,36,-22.0,-72.0,79.0
312,1,0,1.0,45,37,86.0,4.0,24.0
362,1,0,1.0,45,37,86.0,4.0,24.0
301,1,0,0.975,42,37,-66.0,44.0,159.0
351,1,0,0.975,42,37,-66.0,44.0,159.0
305,1,0,1.0,43,36,57.0,85.0,64.0
360,1,0,1.0,44,39,-72.0,44.0,153.0
310,1,0,1.0,44,39,-72.0,44.0,153.0
308,1,0,1.0,44,37,-52.0,-76.0,87.0
358,1,0,1.0,44,37,-52.0,-76.0,87.0
756,1,0,2.0,43,37,37.57,62.69,125.31
757,1,0,2.0,43,37,37.57,62.69,125.31
762,1,0,1.0,45,36,-102.93,-46.38,35.32
761,1,0,1.0,44,39,79.16,50.83,124.65
755,1,0,1.0,43,36,25.03,54.58,64.82
760,1,0,1.0,44,38,-49.54,55.63,94.77
763,1,0,1.0,45,37,22.18,117.69,18.69
750,1,0,1.0,42,36,93.28,-111.43,75.15
652,1,0,0.025,45,36,-2.33,-68.37,1.09
642,1,0,0.05,44,37,-82.64,-14.15,80.52
617,1,0,0.05,42,36,62.49,-106.94,77.46
662,1,0,0.05,45,39,-104.67,107.68,118.05
640,1,0,0.05,44,36,-57.72,88.02,85.86
648,1,0,0.05,44,39,-85.49,-98.42,141.04
628,1,0,0.05,43,36,113.45,57.68,64.81
659,1,0,0.05,45,38,-40.69,-74.63,27.37
647,1,0,0.025,44,38,13.31,107.03,121.12
655,1,0,0.05,45,37,92.67,44.27,25.33
641,1,0,0.05,44,36,-46.97,-120.19,77.78
627,1,0,0.025,43,36,0.74,29.3,64.77
618,1,0,0.05,42,37,-107.05,108.15,168.32
615,1,0,0.025,42,36,111.35,-13.79,64.99
656,1,0,0.05,45,37,51.3,90.3,19.18
645,1,0,0.05,44,38,-101.01,-15.03,64.81
644,1,0,0.05,44,37,87.25,103.81,32.84
654,1,0,0.05,45,37,-82.28,-49.75,21.47
646,1,0,0.05,44,38,-58.99,-109.43,81.97
632,1,0,0.05,43,37,-88.09,104.64,100.38
631,1,0,0.05,43,37,-70.46,-11.13,85.05
629,1,0,0.05,43,36,59.18,-109.54,66.28
649,1,0,0.05,44,39,85.68,19.94,115.62
643,1,0,0.05,44,37,12.25,39.28,54.97
639,1,0,0.05,44,36,15.38,3.6,97.96
660,1,0,0.05,45,39,-89.46,-21.93,106.3
651,1,0,0.05,45,36,90.27,113.0,31.64
630,1,0,0.05,43,37,119.14,-94.37,89.27
653,1,0,0.05,45,36,-113.75,0.7,31.4
620,1,0,0.05,42,37,-22.38,-37.82,106.2
650,1,0,0.05,44,39,30.98,81.92,140.97
661,1,0,0.05,45,39,1.06,-42.01,90.2
606,1,0,1.0,44,38,73.22,82.15,84.52
607,1,0,1.0,45,38,61.87,-109.62,17.62
605,1,0,1.0,44,36,57.3,-26.55,90.31
602,1,0,1.0,43,37,-107.35,-74.35,64.06
718,1,0,0.025,45,39,44.29,-22.02,91.86
116,1,0,1.0,45,38,39.0,-9.0,35.0
110,1,0,1.0,44,38,2.0,-13.0,85.0
300,1,0,1.0,42,36,-74.0,62.0,92.0
350,1,0,1.0,42,36,-74.0,62.0,92.0
313,1,0,1.0,45,38,44.0,97.0,12.0
715,1,0,0.05,44,36,-65.83,-26.8,70.65
712,1,0,0.075,43,37,-50.23,-111.54,77.28
568,1,0,0.25,45,39,64.0,41.0,103.7
528,1,0,0.25,45,39,64.0,41.0,103.7
548,1,0,0.25,45,39,64.0,41.0,103.7
588,1,0,0.25,45,39,64.0,41.0,103.7
590,1,0,0.15,45,37,-90.47,96.33,20.61
570,1,0,0.15,45,37,-90.47,96.33,20.61
530,1,0,0.15,45,37,-90.47,96.33,20.61
550,1,0,0.15,45,37,-90.47,96.33,20.61
587,1,0,0.25,44,39,-34.0,-22.0,136.97
547,1,0,0.25,44,39,-34.0,-22.0,136.97
527,1,0,0.25,44,39,-34.0,-22.0,136.97
567,1,0,0.25,44,39,-34.0,-22.0,136.97
593,1,0,0.2,43,38,-26.54,35.82,177.21
553,1,0,0.2,43,38,-26.54,35.82,177.21
533,1,0,0.2,43,38,-26.54,35.82,177.21
573,1,0,0.2,43,38,-26.54,35.82,177.21
560,1,0,0.2,42,36,26.0,-4.0,79.0
520,1,0,0.2,42,36,26.0,-4.0,79.0
540,1,0,0.2,42,36,26.0,-4.0,79.0
580,1,0,0.2,42,36,26.0,-4.0,79.0
582,1,0,0.225,43,36,88.0,-29.0,64.81
562,1,0,0.225,43,36,88.0,-29.0,64.81
522,1,0,0.225,43,36,88.0,-29.0,64.81
542,1,0,0.225,43,36,88.0,-29.0,64.81
576,1,0,0.15,44,37,-53.0,64.0,69.24
546,1,0,0.15,44,37,-53.0,64.0,69.24
586,1,0,0.15,44,37,-53.0,64.0,69.24
555,1,0,0.15,44,37,-53.0,64.0,69.24
526,1,0,0.15,44,37,-53.0,64.0,69.24
595,1,0,0.15,44,37,-53.0,64.0,69.24
566,1,0,0.15,44,37,-53.0,64.0,69.24
535,1,0,0.15,44,37,-53.0,64.0,69.24
569,1,0,0.225,45,36,-86.0,89.0,28.0
589,1,0,0.225,45,36,-86.0,89.0,28.0
549,1,0,0.225,45,36,-86.0,89.0,28.0
529,1,0,0.225,45,36,-86.0,89.0,28.0
544,1,0,0.15,43,37,17.0,-58.0,86.31
584,1,0,0.15,43,37,17.0,-58.0,86.31
564,1,0,0.15,43,37,17.0,-58.0,86.31
524,1,0,0.15,43,37,17.0,-58.0,86.31
523,1,0,0.2,43,36,-75.0,88.0,64.81
563,1,0,0.2,43,36,-75.0,88.0,64.81
583,1,0,0.2,43,36,-75.0,88.0,64.81
543,1,0,0.2,43,36,-75.0,88.0,64.81
710,1,0,0.025,42,36,56.59,71.43,95.08
619,1,0,0.025,42,37,21.34,46.81,106.29
658,1,0,0.025,45,38,112.6,48.65,14.06
616,1,0,0.025,42,36,-42.39,68.68,92.36
657,1,0,0.025,45,38,-45.8,99.06,60.28
717,1,0,0.05,44,39,-120.0,32.97,-159.08
716,1,0,0.025,44,37,-100.08,-3.66,82.22
2121,1,1,1.0,42,37,45.0,-107.0,98.0
2101,1,1,1.0,42,37,45.0,-107.0,98.0
2117,1,1,1.0,45,39,-56.0,54.0,95.0
2108,1,1,1.0,44,36,45.0,98.0,87.0
2125,1,1,1.0,44,36,45.0,98.0,87.0
2126,1,1,1.0,44,36,45.0,98.0,87.0
2109,1,1,1.0,44,37,75.0,-9.0,30.0
2104,1,1,1.0,43,36,-29.0,-49.0,65.0
2116,1,1,1.0,45,38,39.0,-9.0,35.0
2129,1,1,1.0,44,38,126.0,-70.0,32.0
2111,1,1,1.0,44,38,126.0,-70.0,32.0
2110,1,1,1.0,44,38,2.0,-13.0,85.0
2122,1,1,1.0,42,37,108.0,50.0,89.0
2100,1,1,1.0,42,37,108.0,50.0,89.0
2113,1,1,1.0,45,36,-5.0,20.0,16.0
2300,1,1,1.0,42,36,-74.0,62.0,92.0
2350,1,1,1.0,42,36,-74.0,62.0,92.0
2312,1,1,1.0,45,37,86.0,4.0,24.0
2362,1,1,1.0,45,37,86.0,4.0,24.0
2305,1,1,1.0,43,36,57.0,85.0,64.0
2308,1,1,1.0,44,37,-52.0,-76.0,87.0
2358,1,1,1.0,44,37,-52.0,-76.0,87.0
2360,1,1,1.0,44,39,-72.0,44.0,153.0
2310,1,1,1.0,44,39,-72.0,44.0,153.0
2313,1,1,1.0,45,38,44.0,97.0,12.0
2301,1,1,1.0,42,37,-66.0,44.0,159.0
2351,1,1,1.0,42,37,-66.0,44.0,159.0
2756,1,1,2.0,43,37,37.57,62.69,125.31
2757,1,1,2.0,43,37,37.57,62.69,125.31
2763,1,1,1.0,45,37,22.18,117.69,18.69
2761,1,1,1.0,44,39,79.16,50.83,124.65
2750,1,1,1.0,42,36,93.28,-111.43,75.15
2755,1,1,1.0,43,36,25.03,54.58,64.82
2762,1,1,1.0,45,36,-102.93,-46.38,35.32
2760,1,1,1.0,44,38,-49.54,55.63,94.77
2643,1,1,0.1,44,37,12.25,39.28,54.97
2630,1,1,0.1,43,37,119.14,-94.37,89.27
2658,1,1,0.1,45,38,112.6,48.65,14.06
2649,1,1,0.1,44,39,85.68,19.94,115.62
2629,1,1,0.1,43,36,59.18,-109.54,66.28
2616,1,1,0.1,42,36,-42.39,68.68,92.36
2651,1,1,0.1,45,36,90.27,113.0,31.64
2620,1,1,0.1,42,37,-22.38,-37.82,106.2
2653,1,1,0.1,45,36,-113.75,0.7,31.4
2661,1,1,0.1,45,39,1.06,-42.01,90.2
2656,1,1,0.1,45,37,51.3,90.3,19.18
2640,1,1,0.1,44,36,-57.72,88.02,85.86
2650,1,1,0.1,44,39,30.98,81.92,140.97
2645,1,1,0.1,44,38,-101.01,-15.03,64.81
2641,1,1,0.1,44,36,-46.97,-120.19,77.78
2648,1,1,0.1,44,39,-85.49,-98.42,141.04
2652,1,1,0.1,45,36,-2.33,-68.37,1.09
2631,1,1,0.1,43,37,-70.46,-11.13,85.05
2662,1,1,0.1,45,39,-104.67,107.68,118.05
2657,1,1,0.1,45,38,-45.8,99.06,60.28
2647,1,1,0.1,44,38,13.31,107.03,121.12
2615,1,1,0.1,42,36,111.35,-13.79,64.99
2618,1,1,0.1,42,37,-107.05,108.15,168.32
2619,1,1,0.1,42,37,21.34,46.81,106.29
2644,1,1,0.1,44,37,87.25,103.81,32.84
2646,1,1,0.1,44,38,-58.99,-109.43,81.97
2628,1,1,0.1,43,36,113.45,57.68,64.81
2659,1,1,0.1,45,38,-40.69,-74.63,27.37
2642,1,1,0.1,44,37,-82.64,-14.15,80.52
2632,1,1,0.1,43,37,-88.09,104.64,100.38
2617,1,1,0.1,42,36,62.49,-106.94,77.46
2654,1,1,0.1,45,37,-82.28,-49.75,21.47
2607,1,1,1.0,45,38,61.87,-109.62,17.62
2606,1,1,1.0,44,38,73.22,82.15,84.52
2602,1,1,1.0,43,37,-107.35,-74.35,64.06
2605,1,1,1.0,44,36,57.3,-26.55,90.31
2716,1,1,0.1,44,37,-100.08,-3.66,82.22
2128,1,1,1.0,45,37,4.0,-68.0,22.0
2114,1,1,1.0,45,37,4.0,-68.0,22.0
2112,1,1,1.0,44,39,73.0,-64.0,110.0
2127,1,1,1.0,44,39,73.0,-64.0,110.0
2307,1,1,1.0,44,36,-22.0,-72.0,79.0
2357,1,1,1.0,44,36,-22.0,-72.0,79.0
2314,1,1,1.0,45,38,-86.0,81.0,58.0
2364,1,1,1.0,45,38,-86.0,81.0,58.0
2563,1,1,0.3,43,36,-75.0,88.0,64.81
2543,1,1,0.3,43,36,-75.0,88.0,64.81
2523,1,1,0.3,43,36,-75.0,88.0,64.81
2583,1,1,0.3,43,36,-75.0,88.0,64.81
2553,1,1,0.2,43,38,-26.54,35.82,177.21
2533,1,1,0.2,43,38,-26.54,35.82,177.21
