fixed,map,id
false,2,44_37_87.25_103.81
false,0,44_37_87.25_103.81
false,5,44_37_87.25_103.81
true,0,42_38_53.00_-44.00
true,5,42_38_53.00_-44.00
true,2,42_38_53.00_-44.00
true,3,42_38_53.00_-44.00
false,1,43_36_88.00_-29.00
false,2,43_36_88.00_-29.00
false,3,43_36_88.00_-29.00
false,0,43_36_88.00_-29.00
false,3,44_36_48.90_91.35
true,3,45_37_25.51_-25.69
false,1,43_36_-75.00_88.00
false,2,43_36_-75.00_88.00
false,3,43_36_-75.00_88.00
false,0,43_36_-75.00_88.00
false,0,43_38_54.99_-94.64
false,5,43_38_54.99_-94.64
false,3,43_38_54.99_-94.64
false,0,42_39_57.26_16.37
false,5,42_39_57.26_16.37
false,2,42_39_57.26_16.37
false,3,42_39_57.26_16.37
false,5,43_37_-53.00_64.00
false,0,42_36_-42.39_68.68
false,1,42_36_-42.39_68.68
false,2,42_36_-42.39_68.68
false,3,42_36_-42.39_68.68
true,1,44_38_126.00_-70.00
true,0,44_38_126.00_-70.00
false,2,44_38_126.00_-70.00
true,5,44_38_126.00_-70.00
true,3,44_38_126.00_-70.00
false,0,42_38_34.33_36.93
false,5,42_38_34.33_36.93
false,2,42_38_34.33_36.93
false,3,42_38_34.33_36.93
true,1,44_36_57.30_-26.55
true,2,44_36_57.30_-26.55
true,0,44_36_57.30_-26.55
true,5,44_36_57.30_-26.55
false,1,44_39_30.98_81.92
false,0,44_39_30.98_81.92
false,5,44_39_30.98_81.92
false,3,44_39_30.98_81.92
false,1,45_37_92.67_44.27
false,2,45_37_92.67_44.27
false,0,45_37_92.67_44.27
false,5,45_37_92.67_44.27
true,4,45_38_37.37_8.07
false,1,45_39_44.29_-22.02
false,2,45_39_44.29_-22.02
false,3,45_39_44.29_-22.02
false,0,45_39_44.29_-22.02
false,5,45_39_44.29_-22.02
true,1,45_38_44.00_97.00
true,2,45_38_44.00_97.00
true,3,45_38_44.00_97.00
true,0,45_38_44.00_97.00
true,5,45_38_44.00_97.00
true,1,44_39_73.00_-64.00
true,0,44_39_73.00_-64.00
true,5,44_39_73.00_-64.00
true,3,44_39_73.00_-64.00
true,3,45_36_53.98_92.46
true,3,45_37_-40.77_-83.51
false,4,43_38_-3.81_-44.62
true,1,45_39_-56.00_54.00
true,2,45_39_-56.00_54.00
true,3,45_39_-56.00_54.00
true,0,45_39_-56.00_54.00
true,5,45_39_-56.00_54.00
false,0,42_38_-54.00_21.00
false,5,42_38_-54.00_21.00
false,2,42_38_-54.00_21.00
false,3,42_38_-54.00_21.00
true,4,43_37_-96.00_94.00
false,5,43_37_36.38_41.32
false,0,42_39_38.17_59.14
false,2,42_39_38.17_59.14
false,5,42_39_38.17_59.14
false,3,42_39_38.17_59.14
false,1,42_36_26.00_-4.00
false,2,42_36_26.00_-4.00
false,3,42_36_26.00_-4.00
false,0,42_36_26.00_-4.00
false,1,42_36_56.59_71.43
false,2,42_36_56.59_71.43
false,3,42_36_56.59_71.43
false,0,42_36_56.59_71.43
true,1,45_36_-5.00_20.00
true,2,45_36_-5.00_20.00
true,0,45_36_-5.00_20.00
true,5,45_36_-5.00_20.00
false,4,44_36_64.52_41.36
false,1,44_39_-34.00_-22.00
false,0,44_39_-34.00_-22.00
false,5,44_39_-34.00_-22.00
false,3,44_39_-34.00_-22.00
true,1,42_36_-74.00_62.00
true,2,42_36_-74.00_62.00
true,3,42_36_-74.00_62.00
true,0,42_36_-74.00_62.00
false,1,45_36_90.27_113.00
false,2,45_36_90.27_113.00
false,0,45_36_90.27_113.00
false,5,45_36_90.27_113.00
false,0,43_38_-82.20_88.58
false,5,43_38_-82.20_88.58
false,3,43_38_-82.20_88.58
false,1,43_38_-26.54_35.82
true,0,43_39_0.00_-77.00
true,5,43_39_0.00_-77.00
true,3,43_39_0.00_-77.00
true,1,43_36_25.03_54.58
true,2,43_36_25.03_54.58
true,3,43_36_25.03_54.58
true,0,43_36_25.03_54.58
true,1,42_36_93.28_-111.43
true,2,42_36_93.28_-111.43
true,3,42_36_93.28_-111.43
true,0,42_36_93.28_-111.43
true,1,44_38_2.00_-13.00
true,0,44_38_2.00_-13.00
true,5,44_38_2.00_-13.00
true,3,44_38_2.00_-13.00
false,1,43_37_119.14_-94.37
false,2,43_37_119.14_-94.37
false,3,43_37_119.14_-94.37
false,0,43_37_119.14_-94.37
false,1,44_39_-85.49_-98.42
false,0,44_39_-85.49_-98.42
false,5,44_39_-85.49_-98.42
false,1,44_38_13.31_107.03
false,0,44_38_13.31_107.03
false,5,44_38_13.31_107.03
false,3,44_38_13.31_107.03
true,1,44_36_-22.00_-72.00
true,2,44_36_-22.00_-72.00
true,0,44_36_-22.00_-72.00
true,5,44_36_-22.00_-72.00
false,0,43_37_17.00_-58.00
false,1,43_37_17.00_-58.00
false,2,43_37_17.00_-58.00
false,3,43_37_17.00_-58.00
true,0,43_38_-86.00_32.00
true,5,43_38_-86.00_32.00
true,3,43_38_-86.00_32.00
true,4,45_37_28.00_10.00
false,1,44_38_-58.99_-109.43
false,0,44_38_-58.99_-109.43
false,5,44_38_-58.99_-109.43
false,3,44_38_-58.99_-109.43
true,4,42_39_71.68_-69.37
false,1,45_39_-89.46_-21.93
false,2,45_39_-89.46_-21.93
false,3,45_39_-89.46_-21.93
false,0,45_39_-89.46_-21.93
false,5,45_39_-89.46_-21.93
true,1,45_37_22.18_117.69
true,2,45_37_22.18_117.69
true,0,45_37_22.18_117.69
true,5,45_37_22.18_117.69
false,4,45_37_-24.63_-27.25
true,1,44_38_-49.54_55.63
true,0,44_38_-49.54_55.63
true,5,44_38_-49.54_55.63
true,3,44_38_-49.54_55.63
true,4,45_37_-87.28_80.97
true,4,45_36_-48.03_90.52
true,1,43_37_37.57_62.69
true,2,43_37_37.57_62.69
true,3,43_37_37.57_62.69
true,0,43_37_37.57_62.69
false,4,42_37_95.81_-55.70
false,1,45_36_-113.75_0.70
false,2,45_36_-113.75_0.70
false,0,45_36_-113.75_0.70
false,5,45_36_-113.75_0.70
true,4,44_37_0.00_0.00
false,1,42_36_62.49_-106.94
false,2,42_36_62.49_-106.94
false,3,42_36_62.49_-106.94
false,0,42_36_62.49_-106.94
false,4,45_38_-30.71_-66.39
true,4,43_37_78.17_-103.79
false,4,44_37_-38.12_107.46
true,0,42_39_-30.00_-45.00
true,5,42_39_-30.00_-45.00
true,2,42_39_-30.00_-45.00
true,3,42_39_-30.00_-45.00
false,4,44_36_-26.33_72.35
false,1,44_36_15.38_3.60
false,2,44_36_15.38_3.60
false,0,44_36_15.38_3.60
false,5,44_36_15.38_3.60
false,1,45_36_-86.00_89.00
false,2,45_36_-86.00_89.00
false,0,45_36_-86.00_89.00
false,5,45_36_-86.00_89.00
true,4,43_36_56.74_-10.89
false,1,44_38_-101.01_-15.03
false,0,44_38_-101.01_-15.03
false,5,44_38_-101.01_-15.03
false,3,44_38_-101.01_-15.03
true,1,45_36_-102.93_-46.38
true,2,45_36_-102.93_-46.38
true,0,45_36_-102.93_-46.38
true,5,45_36_-102.93_-46.38
true,4,45_37_0.00_0.00
false,4,45_37_-67.97_10.28
true,4,43_36_-84.00_-30.00
true,4,43_39_-131.63_-47.03
true,4,44_36_0.00_0.00
true,4,42_37_-8.05_68.97
true,4,45_37_-77.02_-51.39
true,1,44_38_73.22_82.15
true,0,44_38_73.22_82.15
true,5,44_38_73.22_82.15
true,3,44_38_73.22_82.15
false,1,42_37_-22.38_-37.82
false,2,42_37_-22.38_-37.82
false,3,42_37_-22.38_-37.82
false,0,42_37_-22.38_-37.82
true,4,45_36_-47.89_90.45
true,4,43_37_53.61_57.90
true,3,44_37_-13.58_28.39
true,4,44_37_47.44_116.31
true,4,45_37_35.68_-87.70
true,4,42_37_56.33_116.30
true,3,45_37_-112.99_-33.61
true,4,43_37_41.49_13.05
false,0,43_38_-84.00_-62.00
false,5,43_38_-84.00_-62.00
false,3,43_38_-84.00_-62.00
true,4,42_38_18.01_-21.27
false,1,43_36_0.74_29.30
false,2,43_36_0.74_29.30
false,3,43_36_0.74_29.30
false,0,43_36_0.74_29.30
true,4,43_39_-105.33_-91.64
false,1,45_37_51.30_90.30
false,2,45_37_51.30_90.30
false,0,45_37_51.30_90.30
false,5,45_37_51.30_90.30
true,4,42_37_10.25_8.67
true,1,44_39_79.16_50.83
true,0,44_39_79.16_50.83
true,5,44_39_79.16_50.83
true,3,44_39_79.16_50.83
true,4,45_36_-74.28_81.43
false,1,44_36_-46.97_-120.19
false,2,44_36_-46.97_-120.19
false,0,44_36_-46.97_-120.19
false,5,44_36_-46.97_-120.19
false,0,44_36_103.03_-6.62
false,2,44_36_103.03_-6.62
false,5,44_36_103.03_-6.62
true,1,44_37_-52.00_-76.00
true,2,44_37_-52.00_-76.00
true,0,44_37_-52.00_-76.00
true,5,44_37_-52.00_-76.00
false,1,43_36_113.45_57.68
false,2,43_36_113.45_57.68
false,3,43_36_113.45_57.68
false,0,43_36_113.45_57.68
false,4,44_37_55.69_35.04
false,1,45_39_64.00_41.00
false,2,45_39_64.00_41.00
false,3,45_39_64.00_41.00
false,0,45_39_64.00_41.00
false,5,45_39_64.00_41.00
true,0,43_38_44.37_53.18
true,5,43_38_44.37_53.18
true,3,43_38_44.37_53.18
false,0,43_39_-127.64_-127.74
false,5,43_39_-127.64_-127.74
false,3,43_39_-127.64_-127.74
true,0,42_38_94.25_65.80
true,5,42_38_94.25_65.80
true,2,42_38_94.25_65.80
true,3,42_38_94.25_65.80
false,0,43_38_100.74_13.10
false,5,43_38_100.74_13.10
false,3,43_38_100.74_13.10
false,3,44_39_-120.00_32.97
false,1,44_39_-120.00_32.97
false,5,44_39_-120.00_32.97
false,0,44_39_-120.00_32.97
true,0,43_39_-124.81_19.15
true,5,43_39_-124.81_19.15
true,3,43_39_-124.81_19.15
false,3,42_39_49.95_-44.26
false,5,42_39_49.95_-44.26
false,0,42_39_49.95_-44.26
false,0,43_39_-110.69_109.70
false,5,43_39_-110.69_109.70
true,1,44_39_-72.00_44.00
true,0,44_39_-72.00_44.00
true,5,44_39_-72.00_44.00
true,3,44_39_-72.00_44.00
false,1,45_38_-40.69_-74.63
false,2,45_38_-40.69_-74.63
false,3,45_38_-40.69_-74.63
false,0,45_38_-40.69_-74.63
false,5,45_38_-40.69_-74.63
false,4,43_38_-29.08_38.17
true,3,44_36_99.06_12.58
true,4,43_37_-87.15_-36.44
false,4,43_38_76.51_-30.38
true,1,44_37_75.00_-9.00
true,2,44_37_75.00_-9.00
true,0,44_37_75.00_-9.00
true,5,44_37_75.00_-9.00
true,1,43_36_57.00_85.00
true,2,43_36_57.00_85.00
true,3,43_36_57.00_85.00
true,0,43_36_57.00_85.00
true,1,42_37_108.00_50.00
true,2,42_37_108.00_50.00
true,3,42_37_108.00_50.00
true,0,42_37_108.00_50.00
false,1,44_39_85.68_19.94
false,0,44_39_85.68_19.94
false,5,44_39_85.68_19.94
false,3,44_39_85.68_19.94
false,0,42_37_21.34_46.81
false,1,42_37_21.34_46.81
false,2,42_37_21.34_46.81
false,3,42_37_21.34_46.81
false,1,43_37_-70.46_-11.13
false,2,43_37_-70.46_-11.13
false,3,43_37_-70.46_-11.13
false,0,43_37_-70.46_-11.13
false,3,45_37_-30.53_53.87
true,1,45_37_86.00_4.00
false,2,45_37_86.00_4.00
true,0,45_37_86.00_4.00
true,5,45_37_86.00_4.00
false,1,45_39_-104.67_107.68
false,2,45_39_-104.67_107.68
false,3,45_39_-104.67_107.68
false,0,45_39_-104.67_107.68
false,5,45_39_-104.67_107.68
false,1,45_39_1.06_-42.01
false,2,45_39_1.06_-42.01
false,0,45_39_1.06_-42.01
false,5,45_39_1.06_-42.01
true,1,43_36_-29.00_-49.00
true,2,43_36_-29.00_-49.00
true,3,43_36_-29.00_-49.00
true,0,43_36_-29.00_-49.00
false,1,43_36_59.18_-109.54
false,2,43_36_59.18_-109.54
false,3,43_36_59.18_-109.54
false,0,43_36_59.18_-109.54
true,0,42_39_-125.40_-102.97
true,5,42_39_-125.40_-102.97
true,2,42_39_-125.40_-102.97
true,3,42_39_-125.40_-102.97
false,1,44_37_-53.00_64.00
false,2,44_37_-53.00_64.00
false,0,44_37_-53.00_64.00
false,5,44_37_-53.00_64.00
true,0,43_39_-24.00_111.00
true,5,43_39_-24.00_111.00
true,3,43_39_-24.00_111.00
true,1,45_38_61.87_-109.62
true,2,45_38_61.87_-109.62
true,3,45_38_61.87_-109.62
true,0,45_38_61.87_-109.62
true,5,45_38_61.87_-109.62
true,1,45_38_39.00_-9.00
true,2,45_38_39.00_-9.00
true,3,45_38_39.00_-9.00
true,0,45_38_39.00_-9.00
true,5,45_38_39.00_-9.00
false,1,45_37_-82.28_-49.75
false,2,45_37_-82.28_-49.75
false,0,45_37_-82.28_-49.75
false,5,45_37_-82.28_-49.75
true,4,43_38_-60.51_87.67
true,1,44_36_45.00_98.00
true,2,44_36_45.00_98.00
true,0,44_36_45.00_98.00
true,5,44_36_45.00_98.00
true,3,45_37_49.50_46.28
false,1,45_38_-45.80_99.06
false,2,45_38_-45.80_99.06
false,3,45_38_-45.80_99.06
false,0,45_38_-45.80_99.06
false,5,45_38_-45.80_99.06
false,0,45_38_112.60_48.65
false,1,45_38_112.60_48.65
false,2,45_38_112.60_48.65
false,5,45_38_112.60_48.65
true,0,43_39_84.86_-167.25
true,5,43_39_84.86_-167.25
true,3,43_39_84.86_-167.25
false,1,44_37_12.25_39.28
false,2,44_37_12.25_39.28
false,0,44_37_12.25_39.28
false,5,44_37_12.25_39.28
true,0,42_38_-48.00_98.46
true,5,42_38_-48.00_98.46
true,2,42_38_-48.00_98.46
true,3,42_38_-48.00_98.46
false,0,42_38_-68.29_-61.24
false,5,42_38_-68.29_-61.24
false,3,42_38_-68.29_-61.24
true,3,44_37_34.33_-58.97
false,2,43_39_88.99_96.71
