id,isdlc,boss,map
131,false,3,0
132,false,3,0
133,false,3,0
134,false,3,0
135,false,3,0
136,false,3,0
137,false,3,0
138,false,3,0
139,false,3,0
140,false,3,1
141,false,3,1
142,false,3,1
143,false,3,1
144,false,3,1
145,false,3,2
146,false,3,2
147,false,3,2
148,false,3,2
149,false,3,2
150,false,3,3
151,false,3,3
152,false,3,3
153,false,3,3
154,false,3,3
155,false,3,5
156,false,3,5
157,false,3,5
158,false,3,5
159,false,3,5
160,false,4,0
161,false,4,0
162,false,4,0
163,false,4,0
164,false,4,0
165,false,4,0
166,false,4,0
167,false,4,0
168,false,4,0
169,false,4,0
170,false,4,0
171,false,4,0
172,false,4,0
173,false,4,0
174,false,4,0
175,false,4,0
176,false,4,0
177,false,4,0
178,false,4,0
179,false,4,0
180,false,4,1
181,false,4,1
182,false,4,1
183,false,4,1
184,false,4,1
185,false,4,2
186,false,4,2
187,false,4,2
188,false,4,2
189,false,4,2
190,false,4,3
191,false,4,3
192,false,4,3
193,false,4,3
194,false,4,3
195,false,4,5
196,false,4,5
197,false,4,5
198,false,4,5
199,false,4,5
200,false,5,0
201,false,5,0
202,false,5,0
203,false,5,0
204,false,5,0
205,false,5,0
206,false,5,0
207,false,5,0
208,false,5,0
209,false,5,0
210,false,5,0
211,false,5,0
212,false,5,0
213,false,5,0
214,false,5,0
215,false,5,0
216,false,5,0
217,false,5,0
218,false,5,0
219,false,5,0
220,false,5,1
221,false,5,1
222,false,5,1
223,false,5,1
224,false,5,1
225,false,5,2
226,false,5,2
227,false,5,2
228,false,5,2
229,false,5,2
230,false,5,3
231,false,5,3
232,false,5,3
233,false,5,3
234,false,5,3
235,false,5,5
236,false,5,5
237,false,5,5
238,false,5,5
239,false,5,5
240,false,6,0
241,false,6,0
242,false,6,0
243,false,6,0
244,false,6,0
245,false,6,0
246,false,6,0
247,false,6,0
248,false,6,0
249,false,6,0
250,false,6,0
251,false,6,0
252,false,6,0
253,false,6,0
254,false,6,0
255,false,6,0
256,false,6,0
257,false,6,0
258,false,6,0
259,false,6,0
260,false,6,1
261,false,6,1
262,false,6,1
263,false,6,1
264,false,6,1
265,false,6,2
266,false,6,2
267,false,6,2
268,false,6,2
269,false,6,2
270,false,6,3
271,false,6,3
272,false,6,3
273,false,6,3
274,false,6,3
275,false,6,5
276,false,6,5
277,false,6,5
278,false,6,5
279,false,6,5
280,false,7,0
281,false,7,0
282,false,7,0
283,false,7,0
284,false,7,0
285,false,7,0
286,false,7,0
287,false,7,0
288,false,7,0
289,false,7,0
290,false,7,0
291,false,7,0
292,false,7,0
293,false,7,0
294,false,7,0
295,false,7,0
296,false,7,0
297,false,7,0
298,false,7,0
299,false,7,0
300,false,7,1
301,false,7,1
302,false,7,1
303,false,7,1
304,false,7,1
305,false,7,2
306,false,7,2
307,false,7,2
308,false,7,2
309,false,7,2
310,false,7,3
311,false,7,3
312,false,7,3
313,false,7,3
314,false,7,3
315,false,7,5
316,false,7,5
317,false,7,5
318,false,7,5
319,false,7,5
0,false,0,0
1021,true,2,0
1022,true,2,0
1023,true,2,0
1024,true,2,0
1025,true,2,4
1026,true,2,4
1027,true,2,4
1028,true,2,4
1029,true,2,4
1030,true,3,0
1031,true,3,0
1032,true,3,0
1033,true,3,0
1034,true,3,0
1035,true,3,4
1036,true,3,4
1037,true,3,4
1038,true,3,4
1039,true,3,4
1040,true,4,0
1041,true,4,0
1042,true,4,0
1043,true,4,0
1044,true,4,0
1045,true,4,4
1046,true,4,4
1047,true,4,4
1048,true,4,4
1049,true,4,4
1050,true,5,0
1051,true,5,0
1052,true,5,0
1053,true,5,0
1054,true,5,0
1055,true,5,4
1056,true,5,4
1057,true,5,4
1058,true,5,4
1059,true,5,4
1060,true,6,0
1061,true,6,0
1062,true,6,0
1063,true,6,0
1064,true,6,0
1065,true,6,4
1066,true,6,4
1067,true,6,4
1068,true,6,4
1069,true,6,4
1070,true,7,0
1071,true,7,0
1072,true,7,0
1073,true,7,0
1074,true,7,0
1075,true,7,4
1076,true,7,4
1077,true,7,4
1078,true,7,4
1079,true,7,4
1080,true,8,0
1081,true,8,0
1082,true,8,0
1083,true,8,0
1084,true,8,0
1085,true,8,0
1086,true,8,0
1087,true,8,0
1088,true,8,0
1089,true,8,0
1090,true,8,0
1091,true,8,0
1092,true,8,0
1093,true,8,0
1094,true,8,0
1095,true,8,0
1096,true,8,0
1097,true,8,0
1098,true,8,0
1099,true,8,0
1100,true,8,1
1101,true,8,1
1102,true,8,1
1103,true,8,1
1104,true,8,1
1105,true,8,2
1106,true,8,2
1107,true,8,2
1108,true,8,2
1109,true,8,2
1110,true,8,3
1111,true,8,3
1112,true,8,3
1113,true,8,3
1114,true,8,3
1115,true,8,4
1116,true,8,4
1117,true,8,4
1118,true,8,4
1119,true,8,4
1120,true,8,4
1121,true,8,4
1122,true,8,4
1123,true,8,4
1124,true,8,4
1125,true,8,4
1126,true,8,4
1127,true,8,4
1128,true,8,4
1129,true,8,4
1130,true,8,4
1131,true,8,4
1132,true,8,4
1133,true,8,4
1134,true,8,4
1135,true,8,5
1136,true,8,5
1137,true,8,5
1138,true,8,5
1139,true,8,5
1140,true,9,0
1141,true,9,0
1142,true,9,0
1143,true,9,0
1144,true,9,0
1145,true,9,0
1146,true,9,0
1147,true,9,0
1148,true,9,0
1149,true,9,0
1150,true,9,0
1151,true,9,0
1152,true,9,0
1153,true,9,0
1154,true,9,0
1155,true,9,0
1156,true,9,0
1157,true,9,0
1158,true,9,0
1159,true,9,0
1160,true,9,1
1161,true,9,1
1162,true,9,1
1163,true,9,1
1164,true,9,1
1165,true,9,2
1166,true,9,2
1167,true,9,2
1168,true,9,2
1169,true,9,2
1170,true,9,3
1171,true,9,3
1172,true,9,3
1173,true,9,3
1174,true,9,3
1175,true,9,4
1176,true,9,4
1177,true,9,4
1178,true,9,4
1179,true,9,4
1180,true,9,4
1181,true,9,4
1182,true,9,4
1183,true,9,4
1184,true,9,4
1185,true,9,4
1186,true,9,4
1187,true,9,4
1188,true,9,4
1189,true,9,4
1190,true,9,4
1191,true,9,4
1192,true,9,4
1193,true,9,4
1194,true,9,4
1195,true,9,5
1196,true,9,5
1197,true,9,5
1198,true,9,5
1199,true,9,5
1000,true,0,0
1001,true,0,0
1002,true,0,0
1003,true,0,0
1004,true,0,0
1005,true,0,4
1006,true,0,4
1007,true,0,4
1008,true,0,4
1009,true,0,4
1010,true,1,0
1011,true,1,0
1012,true,1,0
1013,true,1,0
1014,true,1,0
1015,true,1,4
1016,true,1,4
1017,true,1,4
1018,true,1,4
1019,true,1,4
1020,true,2,0
