playArea1_gridZNo,id,extraBossId2,extraBossId1,playArea1_posZ,playArea1_gridXNo,playArea1_posX,bossId1,playArea2_posX,bossId2,playArea2_gridZNo,playArea2_posZ,playArea2_gridXNo
36,52,-1,-1,-29,43,88,4928,-54,4925,39,61,42
36,53,-1,-1,88,43,-75,4917,-34,4925,39,-22,44
36,54,-1,-1,-4,42,26,4917,-48,4919,37,82,45
38,55,-1,-1,21,42,-54,4890,88,4926,36,-29,43
39,56,-1,-1,18,45,82,4890,88,4919,36,-29,43
38,57,-1,-1,-62,43,-84,4917,88,4919,36,-29,43
39,58,-1,-1,61,42,-54,4890,17,4926,37,-58,43
36,59,-1,-1,88,43,-75,4780,82,4925,39,18,45
36,60,-1,-1,96,45,-88,4800,-26.54,4919,38,35.82,43
39,61,-1,-1,18,45,82,4780,-26.54,4925,38,35.82,43
36,62,-1,-1,96,45,-88,4890,-26.54,4926,38,35.82,43
36,63,-1,-1,-4,42,26,4917,-26.54,4925,38,35.82,43
37,64,-1,-1,82,45,-48,4928,-26.54,4919,38,35.82,43
36,65,-1,-1,-29,43,88,4917,88.99,4925,39,96.707,43
36,66,-1,-1,88,43,-75,4780,88.99,4926,39,96.707,43
36,67,-1,-1,96,45,-88,4928,88.99,4919,39,96.707,43
38,68,4925,-1,21,42,-54,4800,88.99,4919,39,96.707,43
37,69,-1,-1,-58,43,17,4890,88.99,4925,39,96.707,43
38,70,-1,4810,-62,43,-84,4917,48.9,4919,36,91.352,44
36,71,-1,-1,88,43,-75,4800,-30.535,4926,37,53.865,45
36,72,-1,-1,-4,42,26,4890,48.9,4926,36,91.352,44
38,73,-1,-1,21,42,-54,4780,-30.535,4919,37,53.865,45
39,74,-1,-1,-22,44,-34,4928,-30.535,4925,37,53.865,45
39,75,-1,-1,18,45,82,4917,36.38,4926,37,41.32,43
39,76,-1,-1,61,42,-54,4928,36.38,4919,37,41.32,43
39,77,-1,-1,18,45,82,4800,36.38,4925,37,41.32,43
39,78,-1,-1,61,42,-54,4890,36.38,4926,37,41.32,43
39,79,-1,-1,61,42,-54,4780,36.38,4919,37,41.32,43
36,80,-1,-1,-29,43,88,4770,82,4918,39,18,45
36,81,-1,-1,-29,43,88,4810,-84,4923,38,-62,43
36,82,-1,-1,-29,43,88,4810,-54,4923,38,21,42
37,83,-1,-1,64,44,-53,4927,26,4850,36,-4,42
38,84,-1,-1,21,42,-54,4770,-34,4850,39,-22,44
36,85,-1,-1,96,45,-88,4770,-54,4923,38,21,42
39,86,-1,-1,18,45,82,4810,-54,4850,39,61,42
38,87,-1,-1,21,42,-54,4927,-53,4850,37,64,44
37,88,-1,-1,82,45,-48,4990,-54,4918,39,61,42
39,89,-1,-1,18,45,82,4810,-84,4923,38,-62,43
36,90,-1,-1,88,43,-75,4790,-48,4923,37,82,45
39,91,-1,-1,-22,44,-34,4790,26,4918,36,-4,42
39,92,-1,-1,-22,44,-34,4927,-54,4923,39,61,42
39,93,-1,-1,61,42,-54,4990,-84,4918,38,-62,43
37,94,-1,-1,-58,43,17,4927,82,4918,39,18,45
39,95,-1,-1,-22,44,-34,4990,17,4850,37,-58,43
38,96,-1,-1,21,42,-54,4990,-88,4918,36,96,45
38,97,-1,-1,21,42,-54,4790,-75,4918,36,88,43
37,98,-1,-1,-58,43,17,4770,82,4918,39,18,45
38,99,-1,-1,21,42,-54,4790,82,4850,39,18,45
36,100,-1,-1,-4,42,26,4810,-26.54,4850,38,35.82,43
39,101,-1,-1,18,45,82,4790,-26.54,4918,38,35.82,43
36,102,-1,-1,96,45,-88,4770,-26.54,4850,38,35.82,43
39,103,-1,-1,18,45,82,4927,-26.54,4918,38,35.82,43
36,104,-1,-1,-4,42,26,4990,-26.54,4923,38,35.82,43
37,105,-1,-1,-58,43,17,4790,88.99,4923,39,96.707,43
37,106,-1,-1,64,44,-53,4770,88.99,4923,39,96.707,43
36,107,-1,-1,96,45,-88,4810,88.99,4850,39,96.707,43
36,108,-1,-1,-29,43,88,4990,88.99,4850,39,96.707,43
37,109,-1,-1,64,44,-53,4927,88.99,4850,39,96.707,43
38,110,-1,-1,21,42,-54,4810,48.9,4918,36,91.352,44
39,111,-1,-1,18,45,82,4790,48.9,4918,36,91.352,44
36,112,-1,-1,88,43,-75,4990,-30.535,4923,37,53.865,45
39,113,-1,-1,-22,44,-34,4770,48.9,4850,36,91.352,44
39,114,-1,-1,18,45,82,4927,48.9,4923,36,91.352,44
38,115,-1,-1,21,42,-54,4990,36.38,4850,37,41.32,43
39,116,-1,-1,18,45,82,4790,36.38,4923,37,41.32,43
38,117,-1,-1,21,42,-54,4927,36.38,4918,37,41.32,43
38,118,-1,-1,21,42,-54,4770,36.38,4918,37,41.32,43
38,119,-1,-1,21,42,-54,4810,36.38,4923,37,41.32,43
36,120,-1,-1,-29,43,88,4780,-54,4880,38,21,42
38,121,-1,-1,21,42,-54,4917,82,4860,39,18,45
36,122,-1,-1,96,45,-88,4890,-84,4880,38,-62,43
39,123,-1,-1,-22,44,-34,4780,-54,4860,39,61,42
36,124,-1,-1,-4,42,26,4890,-88,4920,36,96,45
37,125,-1,-1,64,44,-53,4810,-54,4920,39,61,42
36,126,-1,-1,-29,43,88,4917,-54,4860,38,21,42
39,127,-1,-1,-22,44,-34,4910,-75,4920,36,88,43
36,128,-1,-1,96,45,-88,4810,-84,4860,38,-62,43
37,129,-1,-1,82,45,-48,4910,-75,4860,36,88,43
36,130,-1,-1,88,43,-75,4810,-54,4920,39,61,42
37,131,-1,-1,82,45,-48,4780,-54,4920,38,21,42
38,132,-1,-1,21,42,-54,4810,-48,4880,37,82,45
39,133,-1,-1,-22,44,-34,4917,17,4920,37,-58,43
37,134,-1,-1,64,44,-53,4890,26,4860,36,-4,42
36,135,-1,-1,88,43,-75,4780,82,4920,39,18,45
39,136,-1,-1,61,42,-54,4890,17,4880,37,-58,43
39,137,-1,-1,18,45,82,4917,-75,4880,36,88,43
39,138,-1,-1,18,45,82,4910,-84,4880,38,-62,43
37,139,-1,-1,-58,43,17,4910,82,4920,39,18,45
36,140,-1,-1,-4,42,26,4917,-26.54,4860,38,35.82,43
37,141,-1,-1,82,45,-48,4910,-26.54,4880,38,35.82,43
37,142,-1,-1,82,45,-48,4810,-26.54,4920,38,35.82,43
37,143,-1,-1,82,45,-48,4890,-26.54,4860,38,35.82,43
36,144,-1,-1,96,45,-88,4780,-26.54,4920,38,35.82,43
37,145,-1,-1,82,45,-48,4890,88.99,4880,39,96.707,43
38,146,-1,-1,21,42,-54,4810,88.99,4920,39,96.707,43
36,147,-1,-1,-29,43,88,4910,88.99,4920,39,96.707,43
39,148,-1,-1,18,45,82,4780,88.99,4860,39,96.707,43
38,149,-1,-1,21,42,-54,4917,88.99,4880,39,96.707,43
38,150,-1,-1,-62,43,-84,4890,48.9,4860,36,91.352,44
38,151,-1,-1,21,42,-54,4780,48.9,4920,36,91.352,44
38,152,-1,-1,21,42,-54,4910,48.9,4920,36,91.352,44
38,153,-1,-1,-62,43,-84,4810,-30.535,4880,37,53.865,45
38,154,-1,-1,21,42,-54,4917,48.9,4880,36,91.352,44
39,155,-1,-1,18,45,82,4910,36.38,4880,37,41.32,43
38,156,-1,-1,21,42,-54,4780,36.38,4920,37,41.32,43
39,157,-1,-1,18,45,82,4917,36.38,4860,37,41.32,43
38,158,-1,-1,21,42,-54,4810,36.38,4920,37,41.32,43
38,159,-1,-1,21,42,-54,4890,36.38,4880,37,41.32,43
39,160,-1,-1,61,42,-54,4927,-34,4925,39,-22,44
36,161,-1,-1,88,43,-75,4770,-34,4921,39,-22,44
39,162,-1,-1,61,42,-54,4790,-88,4921,36,96,45
39,163,-1,-1,-22,44,-34,4770,26,4925,36,-4,42
36,164,-1,-1,-4,42,26,4790,-88,4880,36,96,45
39,165,-1,-1,61,42,-54,4927,-53,4921,37,64,44
37,166,-1,-1,-58,43,17,4800,82,4925,39,18,45
37,167,-1,-1,82,45,-48,4800,-84,4921,38,-62,43
38,168,-1,-1,21,42,-54,4930,-34,4921,39,-22,44
36,169,-1,-1,-29,43,88,4770,-84,4880,38,-62,43
37,170,-1,-1,64,44,-53,4930,26,4921,36,-4,42
38,171,-1,-1,21,42,-54,4800,-34,4921,39,-22,44
37,172,-1,-1,64,44,-53,4790,82,4880,39,18,45
36,173,-1,-1,88,43,-75,4800,-54,4921,39,61,42
39,174,-1,-1,18,45,82,4790,-54,4925,38,21,42
36,175,-1,-1,-29,43,88,4770,-54,4925,39,61,42
38,176,-1,-1,21,42,-54,4927,-75,4880,36,88,43
39,177,-1,-1,18,45,82,4927,-53,4921,37,64,44
39,178,-1,-1,18,45,82,4930,-75,4925,36,88,43
39,179,-1,-1,18,45,82,4930,-53,4921,37,64,44
36,180,-1,-1,-29,43,88,4930,-26.54,4925,38,35.82,43
37,181,-1,-1,82,45,-48,4790,-26.54,4880,38,35.82,43
36,182,-1,-1,-29,43,88,4927,-26.54,4921,38,35.82,43
36,183,-1,-1,-29,43,88,4800,-26.54,4925,38,35.82,43
36,184,-1,-1,-29,43,88,4770,-26.54,4921,38,35.82,43
38,185,-1,-1,21,42,-54,4790,88.99,4921,39,96.707,43
36,186,-1,-1,88,43,-75,4930,88.99,4880,39,96.707,43
36,187,-1,-1,88,43,-75,4800,88.99,4925,39,96.707,43
37,188,-1,-1,82,45,-48,4770,88.99,4921,39,96.707,43
37,189,-1,-1,-58,43,17,4927,88.99,4925,39,96.707,43
38,190,-1,-1,21,42,-54,4800,48.9,4925,36,91.352,44
39,191,-1,-1,-22,44,-34,4927,48.9,4925,36,91.352,44
39,192,-1,-1,18,45,82,4790,48.9,4921,36,91.352,44
39,193,-1,-1,61,42,-54,4930,48.9,4880,36,91.352,44
38,194,-1,-1,21,42,-54,4770,48.9,4921,36,91.352,44
39,195,-1,-1,61,42,-54,4927,36.38,4880,37,41.32,43
39,196,-1,-1,18,45,82,4800,36.38,4925,37,41.32,43
38,197,-1,-1,21,42,-54,4790,36.38,4925,37,41.32,43
39,198,-1,-1,61,42,-54,4770,36.38,4921,37,41.32,43
39,199,-1,-1,18,45,82,4930,36.38,4921,37,41.32,43
37,200,-1,-1,82,45,-48,4780,-54,4820,39,61,42
38,201,-1,-1,21,42,-54,4930,-75,4926,36,88,43
39,202,-1,-1,61,42,-54,4790,17,4926,37,-58,43
39,203,-1,-1,-22,44,-34,4890,26,4820,36,-4,42
37,204,-1,-1,64,44,-53,4928,-54,4926,38,21,42
36,205,-1,-1,-4,42,26,4790,-48,4820,37,82,45
37,206,-1,-1,64,44,-53,4928,-54,4923,39,61,42
38,207,-1,-1,-62,43,-84,4890,82,4923,39,18,45
37,208,-1,-1,82,45,-48,4890,-84,4926,38,-62,43
36,209,4840,-1,-4,42,26,4790,82,4820,39,18,45
37,210,-1,-1,82,45,-48,4790,-75,4820,36,88,43
36,211,-1,4917,-4,42,26,4780,-54,4923,39,61,42
36,212,-1,-1,-29,43,88,4780,-84,4820,38,-62,43
37,213,-1,-1,-58,43,17,4930,-34,4923,39,-22,44
37,214,-1,-1,64,44,-53,4928,26,4820,36,-4,42
39,215,-1,-1,61,42,-54,4928,88,4820,36,-29,43
39,216,-1,-1,-22,44,-34,4780,26,4923,36,-4,42
39,217,-1,-1,61,42,-54,4930,17,4926,37,-58,43
36,218,-1,-1,88,43,-75,4890,-54,4820,39,61,42
38,219,-1,-1,21,42,-54,4930,-48,4820,37,82,45
36,220,-1,4924,96,45,-88,4890,-26.54,4923,38,35.82,43
37,221,-1,-1,82,45,-48,4780,-26.54,4926,38,35.82,43
36,222,-1,-1,-4,42,26,4930,-26.54,4820,38,35.82,43
36,223,-1,-1,96,45,-88,4790,-26.54,4820,38,35.82,43
36,224,-1,-1,-4,42,26,4928,-26.54,4923,38,35.82,43
36,225,-1,-1,-29,43,88,4790,88.99,4926,39,96.707,43
37,226,-1,-1,-58,43,17,4930,88.99,4923,39,96.707,43
37,227,-1,-1,64,44,-53,4780,88.99,4820,39,96.707,43
37,228,-1,-1,64,44,-53,4890,88.99,4923,39,96.707,43
37,229,-1,-1,-58,43,17,4928,88.99,4820,39,96.707,43
39,230,-1,-1,61,42,-54,4790,-30.535,4923,37,53.865,45
36,231,-1,-1,-4,42,26,4890,48.9,4820,36,91.352,44
38,232,-1,-1,-62,43,-84,4780,48.9,4926,36,91.352,44
38,233,-1,-1,-62,43,-84,4930,48.9,4820,36,91.352,44
39,234,4830,-1,-22,44,-34,4928,48.9,4926,36,91.352,44
39,235,-1,-1,61,42,-54,4890,36.38,4923,37,41.32,43
38,236,-1,-1,21,42,-54,4780,36.38,4820,37,41.32,43
39,237,-1,-1,18,45,82,4930,36.38,4926,37,41.32,43
38,238,-1,-1,21,42,-54,4928,36.38,4820,37,41.32,43
39,239,-1,-1,18,45,82,4790,36.38,4926,37,41.32,43
36,240,-1,-1,88,43,-75,4990,82,4830,39,18,45
36,241,-1,-1,-4,42,26,4990,-48,4830,37,82,45
37,242,-1,-1,64,44,-53,4810,-54,4830,39,61,42
36,243,-1,-1,96,45,-88,4910,26,4830,36,-4,42
37,244,-1,-1,-58,43,17,4810,82,4850,39,18,45
39,245,-1,-1,61,42,-54,4800,-84,4880,38,-62,43
39,246,-1,-1,61,42,-54,4910,17,4830,37,-58,43
38,247,-1,-1,21,42,-54,4800,82,4850,39,18,45
39,248,-1,-1,18,45,82,4770,-84,4850,38,-62,43
36,249,-1,-1,-29,43,88,4810,-84,4830,38,-62,43
37,250,-1,-1,-58,43,17,4910,82,4850,39,18,45
37,251,-1,-1,64,44,-53,4990,26,4830,36,-4,42
37,252,-1,-1,-58,43,17,4910,82,4880,39,18,45
39,253,-1,-1,61,42,-54,4810,-88,4830,36,96,45
36,254,-1,-1,-29,43,88,4770,82,4880,39,18,45
39,255,-1,-1,61,42,-54,4800,-84,4850,38,-62,43
37,256,-1,-1,-58,43,17,4990,-34,4880,39,-22,44
39,257,-1,-1,61,42,-54,4800,-75,4830,36,88,43
39,258,-1,-1,18,45,82,4770,88,4850,36,-29,43
39,259,-1,-1,18,45,82,4770,-88,4830,36,96,45
36,260,-1,-1,96,45,-88,4990,-26.54,4880,38,35.82,43
36,261,-1,-1,-29,43,88,4810,-26.54,4830,38,35.82,43
37,262,-1,-1,82,45,-48,4910,-26.54,4850,38,35.82,43
39,263,-1,-1,18,45,82,4770,-26.54,4830,38,35.82,43
36,264,-1,-1,-4,42,26,4800,-26.54,4850,38,35.82,43
36,265,-1,-1,-29,43,88,4910,88.99,4830,39,96.707,43
38,266,-1,-1,21,42,-54,4800,88.99,4830,39,96.707,43
36,267,-1,-1,-29,43,88,4810,88.99,4880,39,96.707,43
36,268,-1,-1,-29,43,88,4990,88.99,4850,39,96.707,43
39,269,-1,-1,18,45,82,4770,88.99,4850,39,96.707,43
36,270,-1,-1,88,43,-75,4800,-30.535,4830,37,53.865,45
38,271,-1,-1,-62,43,-84,4810,48.9,4880,36,91.352,44
36,272,-1,-1,88,43,-75,4770,-30.535,4850,37,53.865,45
39,273,-1,-1,-22,44,-34,4990,-30.535,4850,37,53.865,45
36,274,-1,-1,88,43,-75,4910,-30.535,4830,37,53.865,45
39,275,-1,-1,61,42,-54,4910,36.38,4880,37,41.32,43
39,276,-1,-1,18,45,82,4800,36.38,4830,37,41.32,43
39,277,-1,-1,18,45,82,4770,36.38,4850,37,41.32,43
39,278,-1,-1,18,45,82,4990,36.38,4850,37,41.32,43
39,279,-1,-1,18,45,82,4810,36.38,4830,37,41.32,43
38,280,-1,-1,21,42,-54,4917,-88,4921,36,96,45
37,281,-1,-1,82,45,-48,4810,-54,4918,38,21,42
36,282,-1,-1,-29,43,88,4800,-84,4919,38,-62,43
36,283,-1,-1,-4,42,26,4917,-53,4830,37,64,44
36,284,-1,-1,88,43,-75,4927,-48,4925,37,82,45
39,285,-1,-1,61,42,-54,4890,-75,4840,36,88,43
39,286,-1,-1,61,42,-54,4990,17,4921,37,-58,43
36,287,-1,-1,-29,43,88,4930,-54,4820,39,61,42
36,288,-1,-1,-29,43,88,4929,-54,4850,39,61,42
38,289,-1,-1,21,42,-54,4924,-53,4923,37,64,44
39,290,-1,-1,18,45,82,4928,-75,4920,36,88,43
36,291,-1,-1,-29,43,88,4780,-54,4919,38,21,42
38,292,-1,-1,-62,43,-84,4790,-88,4820,36,96,45
36,293,-1,-1,96,45,-88,4990,-34,4926,39,-22,44
39,294,-1,-1,61,42,-54,4930,-84,4918,38,-62,43
36,295,-1,-1,-29,43,88,4910,82,4880,39,18,45
39,296,-1,-1,61,42,-54,4770,82,4860,39,18,45
36,297,-1,-1,96,45,-88,4928,-54,4926,38,21,42
36,298,-1,-1,96,45,-88,4927,-84,4920,38,-62,43
37,299,-1,-1,82,45,-48,4910,26,4830,36,-4,42
36,300,-1,-1,96,45,-88,4917,-26.54,4918,38,35.82,43
36,301,-1,-1,96,45,-88,4928,-26.54,4923,38,35.82,43
39,302,-1,-1,18,45,82,4770,-26.54,4920,38,35.82,43
37,303,-1,-1,82,45,-48,4927,-26.54,4918,38,35.82,43
36,304,-1,-1,-4,42,26,4890,-26.54,4921,38,35.82,43
37,305,-1,-1,82,45,-48,4910,88.99,4925,39,96.707,43
36,306,-1,-1,96,45,-88,4924,88.99,4840,39,96.707,43
36,307,-1,-1,-29,43,88,4930,88.99,4850,39,96.707,43
38,308,-1,-1,21,42,-54,4929,88.99,4926,39,96.707,43
37,309,-1,-1,64,44,-53,4990,88.99,4860,39,96.707,43
36,310,-1,-1,-4,42,26,4780,-30.535,4820,37,53.865,45
38,311,-1,-1,21,42,-54,4929,48.9,4919,36,91.352,44
36,312,-1,-1,-4,42,26,4800,48.9,4830,36,91.352,44
36,313,-1,-1,-29,43,88,4810,-30.535,4918,37,53.865,45
39,314,-1,-1,-22,44,-34,4790,48.9,4840,36,91.352,44
39,315,-1,-1,18,45,82,4917,36.38,4830,37,41.32,43
39,316,-1,-1,18,45,82,4930,36.38,4919,37,41.32,43
39,317,-1,-1,61,42,-54,4924,36.38,4920,37,41.32,43
39,318,-1,-1,18,45,82,4990,36.38,4921,37,41.32,43
38,319,-1,-1,21,42,-54,4910,36.38,4820,37,41.32,43
37,1020,-1,-1,82,45,-48,4990,-84,4850,38,-62,43
36,1021,-1,-1,96,45,-88,4990,-84,4918,38,-62,43
36,1022,-1,-1,-4,42,26,4990,-53,4918,37,64,44
37,1023,-1,-1,82,45,-48,4927,-84,4850,38,-62,43
39,1024,-1,-1,61,42,-54,4927,-53,4850,37,64,44
37,1025,-1,-1,35.04,44,55.69,4810,0,4850,39,-115,44
36,1026,-1,-1,121,43,-96,4770,0,4918,39,-115,44
36,1027,-1,-1,121,43,-96,4990,0,4923,39,-115,44
38,1028,-1,-1,-31,43,75,4927,0,4923,39,-115,44
37,1029,-1,-1,35.04,44,55.69,4790,0,4918,39,-115,44
37,1030,-1,-1,64,44,-53,4917,82,4880,39,18,45
38,1031,-1,-1,-62,43,-84,4910,82,4920,39,18,45
37,1032,-1,-1,82,45,-48,4910,26,4880,36,-4,42
36,1033,-1,-1,-29,43,88,4917,-34,4880,39,-22,44
36,1034,-1,-1,-4,42,26,4910,-53,4920,37,64,44
36,1035,4850,-1,121,43,-96,4890,0,4880,39,-115,44
37,1036,-1,-1,35.04,44,55.69,4917,0,4920,39,-115,44
38,1037,-1,-1,-31,43,75,4780,0,4860,39,-115,44
37,1038,-1,-1,35.04,44,55.69,4910,0,4920,39,-115,44
38,1039,-1,-1,-31,43,75,4810,0,4880,39,-115,44
37,1040,-1,-1,82,45,-48,4930,-84,4921,38,-62,43
37,1041,-1,-1,82,45,-48,4930,-84,4925,38,-62,43
37,1042,-1,-1,-58,43,17,4930,-54,4925,39,61,42
39,1043,-1,-1,61,42,-54,4927,-53,4925,37,64,44
39,1044,-1,-1,18,45,82,4927,-88,4921,36,96,45
36,1045,-1,-1,121,43,-96,4790,0,4921,39,-115,44
37,1046,-1,-1,35.04,44,55.69,4927,0,4925,39,-115,44
38,1047,-1,-1,-31,43,75,4930,0,4880,39,-115,44
36,1048,-1,-1,121,43,-96,4770,0,4921,39,-115,44
38,1049,-1,-1,-31,43,75,4800,0,4925,39,-115,44
37,1050,-1,-1,-58,43,17,4930,82,4926,39,18,45
39,1051,-1,-1,18,45,82,4928,-53,4926,37,64,44
39,1052,-1,-1,18,45,82,4930,-53,4820,37,64,44
38,1053,-1,-1,21,42,-54,4928,88,4926,36,-29,43
39,1054,-1,-1,61,42,-54,4930,-88,4820,36,96,45
36,1055,-1,-1,121,43,-96,4928,0,4923,39,-115,44
37,1056,-1,-1,35.04,44,55.69,4890,0,4820,39,-115,44
38,1057,-1,-1,-31,43,75,4780,0,4820,39,-115,44
37,1058,-1,-1,35.04,44,55.69,4930,0,4926,39,-115,44
38,1059,4840,-1,-31,43,75,4790,0,4923,39,-115,44
36,1060,-1,-1,-29,43,88,4910,-48,4850,37,82,45
37,1061,-1,-1,-58,43,17,4910,-54,4850,39,61,42
39,1062,-1,-1,61,42,-54,4990,17,4830,37,-58,43
36,1063,-1,-1,-29,43,88,4990,-48,4830,37,82,45
39,1064,-1,-1,18,45,82,4910,-75,4850,36,88,43
37,1065,4820,-1,35.04,44,55.69,4990,0,4830,39,-115,44
36,1066,-1,-1,121,43,-96,4770,0,4880,39,-115,44
37,1067,-1,-1,35.04,44,55.69,4910,0,4850,39,-115,44
38,1068,-1,-1,-31,43,75,4810,0,4850,39,-115,44
38,1069,-1,-1,-31,43,75,4800,0,4830,39,-115,44
37,1070,-1,-1,64,44,-53,4927,26,4860,36,-4,42
39,1071,-1,-1,-22,44,-34,4928,-54,4925,38,21,42
39,1072,-1,-1,-22,44,-34,4928,-54,4860,39,61,42
39,1073,-1,-1,18,45,82,4917,17,4850,37,-58,43
36,1074,-1,-1,88,43,-75,4917,82,4925,39,18,45
38,1075,-1,-1,-31,43,75,4890,0,4850,39,-115,44
38,1076,-1,-1,-31,43,75,4927,0,4925,39,-115,44
37,1077,-1,-1,35.04,44,55.69,4928,0,4880,39,-115,44
38,1078,4919,-1,-31,43,75,4770,0,4923,39,-115,44
36,1079,-1,-1,121,43,-96,4780,0,4926,39,-115,44
37,1080,-1,-1,-58,43,17,5200,-54,5210,39,61,42
37,1081,-1,-1,-58,43,17,5200,-34,5210,39,-22,44
36,1082,-1,-1,-29,43,88,5203,-34,5213,39,-22,44
39,1083,-1,-1,18,45,82,5203,-88,5213,36,96,45
39,1084,-1,-1,-22,44,-34,5203,88,5213,36,-29,43
36,1085,-1,-1,-29,43,88,5200,-54,5210,38,21,42
39,1086,-1,-1,61,42,-54,5200,-84,5210,38,-62,43
39,1087,4920,-1,18,45,82,5200,-54,5210,38,21,42
37,1088,-1,-1,82,45,-48,5203,-54,5213,39,61,42
39,1089,-1,-1,61,42,-54,5200,88,5210,36,-29,43
39,1090,-1,-1,18,45,82,5200,88,5210,36,-29,43
36,1091,-1,-1,-4,42,26,5203,-54,5213,39,61,42
39,1092,-1,-1,18,45,82,5200,17,5210,37,-58,43
37,1093,-1,-1,-58,43,17,5203,-54,5213,39,61,42
39,1094,-1,-1,-22,44,-34,5203,-88,5213,36,96,45
36,1095,-1,-1,-29,43,88,5203,82,5213,39,18,45
36,1096,-1,-1,-4,42,26,5200,-54,5210,39,61,42
39,1097,-1,-1,18,45,82,5203,26,5213,36,-4,42
39,1098,-1,-1,61,42,-54,5200,-84,5210,38,-62,43
37,1099,-1,-1,82,45,-48,5203,26,5213,36,-4,42
36,1100,-1,-1,96,45,-88,5203,-26.54,5213,38,35.82,43
36,1101,-1,-1,96,45,-88,5200,-26.54,5210,38,35.82,43
36,1102,-1,4910,-29,43,88,5200,-26.54,5210,38,35.82,43
36,1103,-1,-1,96,45,-88,5200,-26.54,5210,38,35.82,43
37,1104,-1,-1,82,45,-48,5203,-26.54,5213,38,35.82,43
37,1105,-1,-1,64,44,-53,5200,88.99,5210,39,96.707,43
36,1106,-1,-1,-29,43,88,5203,88.99,5213,39,96.707,43
36,1107,-1,-1,96,45,-88,5203,88.99,5213,39,96.707,43
37,1108,-1,-1,-58,43,17,5200,88.99,5210,39,96.707,43
36,1109,-1,-1,-4,42,26,5203,88.99,5213,39,96.707,43
