maps,id,gridXNo,posX,posZ,gridZNo,attachIds,variations,patterns
_,40,44,87.039999999999964,104.96000000000004,37,644_2644,_,_
_,41,43,156.15999999999997,240.64,37,645_2645,_,_
_,42,44,151.03999999999996,107.51999999999998,39,662_2662,_,_
_,43,41,212.48,69.12,36,616_2616,_,_
_,44,42,61.44,148.48,35,617_2617,_,_
_,45,44,12.799999999999955,38.399999999999977,37,643_2643,_,_
_,46,44,143.36,0.0,36,653_2653,_,_
_,47,44,174.08000000000004,207.36,36,654_2654,_,_
_,48,41,186.88,194.55999999999995,37,621,_,_
_,49,43,0.0,28.160000000000025,36,627,_,_
_,50,43,197.12,145.91999999999996,37,646_2646,_,_
_,51,42,168.95999999999998,104.96000000000004,37,632_2632,_,_
_,52,43,209.91999999999996,135.68,35,641_2641,_,_
_,53,45,0.0,215.03999999999996,38,661_2661,_,_
_,54,41,171.52,115.20000000000005,38,622,_,_
_,55,44,30.720000000000027,81.920000000000073,39,650_2650,_,_
_,56,42,20.480000000000018,46.080000000000041,37,619_2619,_,_
_,57,43,171.51999999999998,158.72000000000003,38,648_2648,_,_
_,58,44,12.799999999999955,107.51999999999998,38,647_2647,_,_
_,59,41,148.48,107.51999999999998,37,618_2618,_,_
_,60,43,53.759999999999991,161.27999999999997,37,634,_,_
_,61,43,87.039999999999964,2.5599999999999454,39,638,_,_
_,62,44,253.44000000000005,186.88,35,652_2652,_,_
_,63,42,33.279999999999973,35.840000000000032,38,623,_,_
_,64,43,120.32000000000005,161.27999999999997,36,630_2630,_,_
_,65,43,197.12,87.04000000000002,36,640_2640,_,_
_,66,43,174.08000000000004,240.64,36,642_2642,_,_
_,67,44,15.360000000000014,2.5600000000000023,36,639,_,_
_,68,45,51.200000000000045,89.600000000000023,37,656_2656,_,_
_,69,42,184.32,245.76,36,631_2631,_,_
_,70,42,56.319999999999993,15.3599999999999,39,625,_,_
_,71,44,209.91999999999996,99.840000000000032,38,657_2657,_,_
_,72,44,84.480000000000018,20.480000000000018,39,649_2649,_,_
_,73,42,174.07999999999998,89.600000000000023,38,635,_,_
_,74,42,38.399999999999977,58.880000000000109,39,624,_,_
_,75,43,58.879999999999995,145.92,35,629_2629,_,_
_,76,42,81.920000000000016,163.84000000000003,38,626,_,_
_,77,42,110.07999999999998,243.2,35,615_2615,_,_
_,78,42,145.92000000000002,110.07999999999993,39,636,_,_
_,79,42,148.48000000000002,181.76,36,602_2602,_,_
_,80,43,99.840000000000032,81.920000000000073,39,604_2604,_,_
_,81,44,74.240000000000009,81.919999999999959,38,606_2606,_,_
_,82,41,130.56,153.60000000000002,38,601_2601,_,_
_,83,44,56.32000000000005,230.4,35,605_2605,_,_
_,84,45,61.440000000000055,145.91999999999996,37,607_2607,_,_
_,85,43,43.519999999999982,53.759999999999991,38,603_2603,_,_
_,86,44,199.67999999999995,53.759999999999991,39,117_2117,_,_
_,87,44,74.240000000000009,245.76,36,109_2109,_,_
_,88,44,250.88,20.480000000000018,36,113_2113,_,_
_,89,42,107.51999999999998,51.200000000000045,37,2100_100_122_2122,_,_
_,90,45,5.1199999999998909,186.88,36,114_2128_128_2114,_,_
_,91,42,168.95999999999998,30.720000000000027,38,306_2356_356_2306,_,_
_,92,43,184.32000000000005,43.519999999999982,39,360_310_2360_2310,_,_
_,93,43,232.96000000000004,184.32,35,357_307_2357_2307,_,_
_,94,44,46.080000000000041,97.279999999999973,36,126_2108_108_2125_2126_125,_,_
_,95,42,204.8,143.36,36,712_2712,_,_
_,96,42,248.32,232.96000000000004,37,713_2713,_,_
_,97,45,43.519999999999982,232.96000000000004,38,718_2718,_,_
_,98,43,189.44000000000005,230.4,35,715_2715,_,_
_,99,45,25.599999999999909,230.39999999999998,36,320_2320,_,_
_,100,43,243.20000000000005,28.159999999999968,37,317_2317,_,_
_,101,45,53.759999999999991,92.160000000000025,36,322_2322,_,_
_,102,44,215.03999999999996,171.51999999999998,36,318_2318,_,_
_,103,44,99.840000000000032,12.800000000000011,36,315_2315,_,_
_,104,44,33.279999999999973,197.12,36,309_2309,_,_
_,105,44,143.36,222.72000000000003,36,321_2321,_,_
_,106,45,48.6400000000001,46.080000000000041,37,319_2319,_,_
_,107,44,74.240000000000009,40.960000000000036,37,316_2316,_,_
_,108,42,51.199999999999989,212.48000000000002,38,711_2711,_,_
_,109,43,135.67999999999995,33.279999999999973,39,717_2717,_,_
_,110,44,166.39999999999998,97.279999999999973,37,2590_2570_590_570_550_530_2550_2530,_,_
_,111,43,222.72000000000003,232.96000000000004,38,567_547_527_2547_2587_2567_587_2527,_,_
_,112,42,181.76,87.04000000000002,36,2583_2563_583_563_543_523_2543_2523,_,_
_,113,41,202.24,20.480000000000018,38,581_561_541_521_2541_2581_2561_2521,_,_
_,114,43,17.919999999999959,197.12,36,2544_2584_2564_584_564_544_524_2524,_,_
_,115,45,64.0,40.960000000000036,39,588_568_548_528_2548_2588_2568_2528,_,_
_,116,43,202.24,64.0,37,555_526_2555_546_2546_2586_2535_535_566_2526_586_595_576,_,_
_,117,44,168.96000000000004,89.600000000000023,36,2569_589_569_549_529_2549_2589_2529,_,_
_,118,43,87.039999999999964,227.84,35,2562_582_562_542_522_2542_2582_2522,_,_
_,119,42,171.51999999999998,194.55999999999995,37,525_2545_2585_2565_585_565_545_2525,_,_
_,120,42,25.600000000000023,250.88,35,560_540_520_2580_2540_580_2520,_,_
_,121,43,156.15999999999997,253.44,36,716_2716,_,_
_,122,42,230.39999999999998,35.840000000000032,38,553_533_2553_593_573_2533,_,_
_,123,43,89.600000000000023,97.279999999999973,39,574_554_534_2574_594_2534,_,_
_,124,44,48.639999999999986,92.160000000000025,36,591_551_2531,_,_
_,125,44,225.27999999999997,53.759999999999991,37,552_532_2532_592,_,_
_,126,42,202.24,64.0,37,556_2556,_,_
_,127,42,56.319999999999993,71.68,36,710_2710,_,_
_,128,43,35.840000000000032,40.960000000000036,37,2536_577_536_596,_,_
_,129,44,102.39999999999998,248.32,35,2714,_,_
_,130,43,56.32000000000005,245.76,35,1107,_,_
_,131,44,181.76,81.920000000000016,36,1110,_,_
_,132,45,38.400000000000091,7.67999999999995,38,1108,_,_
_,133,42,10.240000000000009,7.67999999999995,37,1109,_,_
_,134,42,104.95999999999998,81.919999999999959,38,1141,_,_
_,135,42,71.68,186.88,38,1148_1142_1145,_,_
_,136,42,194.56,87.039999999999964,38,1143_1146,_,_
_,137,42,151.04000000000002,163.84000000000003,38,1144_1147,_,_
_,138,42,17.920000000000016,235.51999999999998,37,1116_1114_1115,_,_
_,139,44,207.36,89.600000000000023,36,1113_1111_1112,_,_
_,140,43,40.960000000000036,12.799999999999955,37,1162,_,_
_,141,42,56.319999999999993,115.20000000000005,37,1155,_,_
_,142,44,168.96000000000004,81.919999999999959,37,1164,_,_
_,143,44,12.799999999999955,145.91999999999996,37,1158,_,_
_,144,45,35.839999999999918,168.95999999999998,36,1160,_,_
_,145,42,168.95999999999998,220.16000000000003,36,1156,_,_
_,146,43,79.360000000000014,151.04000000000002,36,1161,_,_
_,147,43,53.759999999999991,58.879999999999995,37,1163,_,_
_,148,44,179.20000000000005,204.8,36,1159,_,_
_,149,43,71.67999999999995,107.51999999999998,38,1157,_,_
_,150,41,248.32,69.12,37,1165,_,_
_,151,42,171.51999999999998,225.28,35,1150,_,_
_,152,45,28.160000000000082,10.240000000000009,37,1153,_,_
_,153,42,125.44,209.91999999999996,38,1103,_,_
_,154,44,0.0,0.0,36,1135_1138,_,_
_,155,44,0.0,0.0,37,1136_1139,_,_
_,156,45,0.0,0.0,37,1137_1140,_,_
_,157,44,48.639999999999986,115.20000000000005,37,1152,_,_
_,158,42,158.72000000000003,94.720000000000027,37,1151,_,_
_,159,42,253.44,212.48000000000002,37,1210,_,_
_,160,44,56.32000000000005,35.840000000000032,37,1202,_,_
_,161,42,161.27999999999997,120.32,36,1200,_,_
_,162,43,76.799999999999955,225.27999999999997,37,1201,_,_
_,163,43,230.39999999999998,71.68,36,1211,_,_
_,164,44,64.0,40.95999999999998,36,1174,_,_
_,165,43,217.60000000000002,107.51999999999998,37,1212,_,_
_,166,44,225.27999999999997,189.44000000000005,37,1176,_,_
_,167,44,186.88,10.240000000000009,37,1213,_,_
_,168,43,23.039999999999964,53.759999999999991,37,1172,_,_
_,169,42,227.83999999999997,38.399999999999977,38,1173,_,_
_,170,42,94.720000000000027,199.68,36,1170,_,_
_,171,44,230.39999999999998,227.83999999999997,36,1175,_,_
_,172,42,163.83999999999997,25.600000000000023,36,1171,_,_
