id,smallBaseMapId,variationId,label,sublabel
46504,4650,4,封印监牢,法姆亚兹拉的兽人
46505,4650,5,封印监牢,混种集团
46510,4651,0,红狼,
46520,4652,0,龙装大树守卫,
46530,4653,0,大树守卫,
46540,4654,0,卡利亚骑士,
46550,4655,0,狮子混种,
46560,4656,0,灵珠猎人,
46570,4657,0,老狮子,
46580,4658,0,飞龙,
46590,4659,0,王室幽魂,
46602,4660,2,封印监牢,结晶人
46603,4660,3,封印监牢,石肤王们
46604,4660,4,封印监牢,失乡骑士
46605,4660,5,封印监牢,诺克斯战士
46606,4660,6,封印监牢,猎犬骑士
46620,4662,0,黑夜骑兵,
46630,4663,0,腐败树灵,
46640,4664,0,祖灵,
46650,4665,0,接肢贵族,
46660,4666,0,黑剑眷属,
46670,4667,0,黄金树化身,
46680,4668,0,熔岩土龙,
46690,4669,0,萨米尔古英雄,
46700,4670,0,封印监牢,龙人士兵
46701,4670,1,封印监牢,神皮使徒
46702,4670,2,封印监牢,神皮贵族
46703,4670,3,封印监牢,熔炉骑士（剑盾）
46704,4670,4,封印监牢,熔炉骑士（大矛）
46710,4671,0,米兰达花朵,
46720,4672,0,黄金河马,
46740,4674,0,死亡仪式鸟,
46770,4677,0,亚人女王,
46780,4678,0,入侵事件,蒙格特
46800,4680,0,封印监牢,死亡仪式鸟
46801,4680,1,封印监牢,古龙
46802,4680,2,封印监牢,神皮双人组
46810,4681,0,黑刀刺客,
46820,4682,0,红狼,
46860,4686,0,狮子混种,
46870,4687,0,灵珠猎人,
46880,4688,0,王室幽魂,
46910,4691,0,接肢贵族,
46950,4695,0,萨米尔古英雄,
47802,4780,2,贪食魔龙,
47902,4790,2,百足恶魔,
48002,4800,2,蜘蛛公爵,
48102,4810,2,熔铁恶魔,
48302,4830,2,冷冽谷的舞娘,
48402,4840,2,蒙格特,
48502,4850,2,龙装大树守卫和王城骑兵,
48602,4860,2,大树守卫和王城骑兵,
48802,4880,2,神皮双人组,
49102,4910,2,接肢葛瑞克,
49172,4917,2,英雄石像鬼,
49182,4918,2,大熔岩土龙,
49202,4920,2,坠星成兽,
49212,4921,2,死亡仪式鸟,
49232,4923,2,诺克斯龙人士兵,
49242,4924,2,铃珠猎人,
49252,4925,2,熔炉骑士和黄金河马,
49262,4926,2,偏地老将,
49272,4927,2,战场老将,
49282,4928,2,黑夜骑兵,
49292,4929,2,亚人女王和亚人剑圣,
49302,4930,2,王室幽魂,
49400,4940,0,持秤商人,
49410,4941,0,主城,失乡骑士
49420,4942,0,主城,投壶山妖
49430,4943,0,主城,熔炉骑士
49902,4990,2,腐败树灵,
50001,5000,1,洞窟dlc,腐败眷属
50011,5001,1,洞窟dlc,蜘蛛和蝎子
50020,5002,0,洞窟dlc,寒冰鳌虾
50030,5003,0,洞窟dlc,杜鹃骑士
50040,5004,0,洞窟dlc,尊腐骑士
50050,5005,0,洞窟dlc,流放民族
50060,5006,0,洞窟dlc,鲜血贵族
50100,5010,0,村落dlc,噩兆之子
50102,5010,2,村落dlc,血血怪
50103,5010,3,村落dlc,死骑士
50104,5010,4,村落dlc,神鸟战士
50112,5011,2,村落dlc,守墓斗士
50113,5011,3,村落dlc,黑焰修习武士
50114,5011,4,村落dlc,噩兆之子猎人
50116,5011,6,村落dlc,祖灵之民战士
51000,5100,0,玛莉卡教堂,
51050,5105,0,5105,
51051,5105,1,5105,
51100,5110,0,魔法塔 dlc,正门上方
51101,5110,1,魔法塔 dlc,小恶魔雕像
51102,5110,2,魔法塔 dlc,枯树
51103,5110,3,魔法塔 dlc,水池倒影
51104,5110,4,魔法塔 dlc,外侧木平台
51105,5110,5,魔法塔 dlc,风吹动的草丛
51106,5110,6,魔法塔 dlc,假封印
51107,5110,7,魔法塔 dlc,逃跑的树桩
51108,5110,8,魔法塔 dlc,门旁蜡烛
51109,5110,9,魔法塔 dlc,隐藏墙壁
51150,5115,0,5115,
52400,5240,0,大教堂dlc,圣
52420,5242,0,大教堂dlc,冻伤
52450,5245,0,大教堂dlc,睡眠
52460,5246,0,大教堂dlc,雷
52500,5250,0,废墟dlc,出血
52520,5252,0,废墟dlc,毒
52550,5255,0,废墟dlc,魔法
52570,5257,0,废墟dlc,睡眠
53000,5300,0,三狼事件???,
53050,5305,0,冰龙事件???,
53490,5349,0,5349,
53500,5350,0,5350,
53510,5351,0,5351,
53520,5352,0,5352,
53530,5353,0,5353,
53540,5354,0,5354,
53550,5355,0,5355,
53560,5356,0,5356,
53570,5357,0,5357,
53580,5358,0,5358,
53590,5359,0,5359,
53600,5360,0,5360,
53610,5361,0,5361,
53620,5362,0,5362,
53630,5363,0,5363,
53640,5364,0,5364,
53670,5367,0,5367,
53680,5368,0,5368,
53700,5370,0,5370,
53710,5371,0,5371,
53720,5372,0,5372,
53800,5380,0,5380,
53810,5381,0,5381,
53820,5382,0,5382,
53830,5383,0,5383,
53860,5386,0,5386,
53870,5387,0,5387,
53880,5388,0,5388,
53890,5389,0,5389,
53900,5390,0,5390,
53910,5391,0,5391,
53990,5399,0,5399,
